code,company,date,text
AGN,Allergan PLC,2019-04-24,Deep Dive: Analysts see plenty of attractive bargains in this year’s worst-performing stock sector
AGN,Allergan PLC,2019-04-17,Drugmaker selloff intensifies on D.C. pricing headwinds
AGN,Allergan PLC,2019-04-17,Sell-off intensifies as drug makers face pricing headwinds from Washington
AGN,Allergan PLC,2019-04-15,Brainstorm Health: 3D Printed Heart  Measles Outbreak  SCOTUS Rejects Allergan Tribe Bid
AGN,Allergan PLC,2019-04-15,Proxy firms Glass Lewis  ISS back Allergan in fight against Appaloosa
AGN,Allergan PLC,2019-04-15,U.S. Supreme Court rejects Allergan bid to use tribe to shield drug patents
AGN,Allergan PLC,2019-04-15,Allergan activist shareholder strikes out in effort to split Chairman/CEO jobs
AGN,Allergan PLC,2019-04-05,Called to Account: Here’s one way to tell if a company is overpaying its CEO
AGN,Allergan PLC,2019-04-05,Called to Account: Companies that use non-standard metrics for executive comp are overpaying managers  study finds
AGN,Allergan PLC,2019-04-04,Appaloosa undeterred with effort to split Chairman/CEO roles at Allergan
AGN,Allergan PLC,2016-11-09,Impax Labs Q3 falls short of consensus; impairment charge and softer guidance sinks shares  down 24%
AGN,Allergan PLC,2016-11-09,Biotechs love Trump  many ahead premarket
AGN,Allergan PLC,2016-11-02,S&P 500 ends down for seventh straight session
AGN,Allergan PLC,2016-11-02,Allergan revenue rises 4.4 percent; company expands buyback
AGN,Allergan PLC,2016-10-13,U.S. targets corporate tax-reduction strategy with new regulation
AGN,Allergan PLC,2016-09-26,Pfizer abandons plan to split into two companies
AGN,Allergan PLC,2016-09-20,Wall Street ends flat with Fed  BOJ up next
AGN,Allergan PLC,2016-09-20,Allergan pays top dollar for 'stepping stones' from neurology to dermatology
AGN,Allergan PLC,2016-09-20,Allergan to buy Tobira in push for NASH treatments
AGN,Allergan PLC,2016-09-14,Fed jitters and oil pull Wall Street lower; Apple rallies
AGN,Allergan PLC,2016-11-23,Hedge funds slow to adjust champagne tastes to beer budgets
