code,company,date,text
BIIB,Biogen Inc,2019-04-24,Biogen beats first-quarter profit estimates on Spinraza strength
BIIB,Biogen Inc,2019-04-24,Biogen Earnings  Revenue Beat in Q1
BIIB,Biogen Inc,2019-04-24,Biogen beats by $0.02  beats on revenue
BIIB,Biogen Inc,2019-04-22,Better Buy: Biogen vs. AbbVie
BIIB,Biogen Inc,2019-04-15,Lagging U.S. healthcare stocks could see short-term boost but clouds linger
BIIB,Biogen Inc,2019-04-14,Better Buy: Gilead Sciences vs. Biogen
BIIB,Biogen Inc,2019-04-06,Should Biogen Investors Be Extra Nervous Right Now?
BIIB,Biogen Inc,2019-04-04,1 Biotech That Biogen Should Buy ... but Probably Won't
BIIB,Biogen Inc,2019-04-04,Why Biogen Stock Tanked in March
BIIB,Biogen Inc,2019-03-30,3 Leading Alzheimer's Disease Drugs in Development After Biogen's Aducanumab Flop
BIIB,Biogen Inc,2009-07-21,UPDATE 2-Elan gives J&J potential option to buy Biogen MS stake
BIIB,Biogen Inc,2009-07-21,WRAPUP 2-European drug groups shine through recession
BIIB,Biogen Inc,2009-07-01,UPDATE 1-Biogen gains rights to Acorda's MS drug
BIIB,Biogen Inc,2014-10-22,Wall St. ends lower after shooting at Canadian parliament 
BIIB,Biogen Inc,2014-09-24,Wall St. rallies  S&P back above 14-day moving average
BIIB,Biogen Inc,2014-08-27,InterMune drug may offer big upside to Roche if aimed at liver
BIIB,Biogen Inc,2014-07-23,Apple pushes S&P 500 to record close; Boeing hits Dow
BIIB,Biogen Inc,2014-05-13,Dow Hits Record; Internet Names Advance
BIIB,Biogen Inc,2011-04-11,US STOCKS-Markets fall on earnings caution  energy selloff
BIIB,Biogen Inc,2011-04-11,US STOCKS-Markets flat as caution prevails ahead of earnings
BIIB,Biogen Inc,2011-04-11,US STOCKS-Wall St higher on earnings optimism  Alcoa gains
BIIB,Biogen Inc,2011-04-11,US STOCKS-Earnings optimism lifts Wall Street  Alcoa up
BIIB,Biogen Inc,2011-04-11,US STOCKS-Shares set to open slightly higher  earnings eyed
BIIB,Biogen Inc,2015-03-20,U.S. stocks higher at close of trade
BIIB,Biogen Inc,2015-03-05,Wall Street closes up slightly ahead of jobs report
BIIB,Biogen Inc,2015-03-02,Nasdaq Hits 5 000 Milestone For The First Time Since 2000
BIIB,Biogen Inc,2015-01-30,U.S. stocks lower at close of trade
BIIB,Biogen Inc,2015-01-07,U.S. stocks higher at close of trade
BIIB,Biogen Inc,2014-12-23,Dow ends above 18 000 for first time on strong GDP report
BIIB,Biogen Inc,2014-12-23,United States stocks mixed at close of trade
BIIB,Biogen Inc,2014-12-23,Exclusive: Express Scripts presses for more drug savings with coverage list 
BIIB,Biogen Inc,2014-12-02,Energy shares lead Wall Street higher; telecoms slip
BIIB,Biogen Inc,2014-11-14,Wall Street posts gains for fourth week; ends flat for day 
BIIB,Biogen Inc,2015-09-21,U.S. stocks rally  as investors continue to react to Fed decision
BIIB,Biogen Inc,2015-09-21,Wall Street rebounds with financials; biotechs drop
BIIB,Biogen Inc,2015-09-21,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.77%
BIIB,Biogen Inc,2015-07-27,U.S. stocks fall for fifth straight session  as China sell-off weighs
BIIB,Biogen Inc,2015-07-27,Teva to buy Allergan generic business for $40.5 billion  drops Mylan bid
BIIB,Biogen Inc,2015-07-24,U.S. stocks extend losing skid to four  in spite of surge from Amazon
BIIB,Biogen Inc,2015-07-24,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.92%
BIIB,Biogen Inc,2015-07-24,Wall Street slumps as materials  health stocks weigh
BIIB,Biogen Inc,2015-07-24,Biogen slashes 2015 forecast as MS drug sales disappoint
BIIB,Biogen Inc,2015-07-10,U.S. stocks surge on Friday  amid increased optimism for a Greek deal
BIIB,Biogen Inc,2015-06-09,Wall Street ends flat; S&P 500 snaps three-day losing streak
BIIB,Biogen Inc,2015-05-13,How DNA sequencing is transforming the hunt for new drugs
BIIB,Biogen Inc,2015-04-30,Exclusive: Pfizer is mystery bidder for rare disease drugmaker Sobi - sources
BIIB,Biogen Inc,2015-04-24,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.12%
BIIB,Biogen Inc,2015-04-24,Biogen quarter-one results disappoint Wall Street as Tecfidera sales slow
BIIB,Biogen Inc,2015-03-24,Wall Street down for second straight day; energy weak
BIIB,Biogen Inc,2015-03-23,U.S. stocks slightly down  as dollar continues downward trend
BIIB,Biogen Inc,2015-03-23,Exclusive: Biogen shortens name  expands ambitions in Alzheimer's  ALS
BIIB,Biogen Inc,2015-03-21,Wall St. rises on Nike  lower dollar; Nasdaq hits 15-year high
BIIB,Biogen Inc,2015-03-20,U.S. stocks move broadly higher  as dollar continues to weaken
BIIB,Biogen Inc,2016-01-27,Wall Street points to lower open ahead of Fed; Apple -3% after earnings
BIIB,Biogen Inc,2016-01-15,Major drugmakers push back in U.S. price debate
BIIB,Biogen Inc,2015-11-02,U.S. stocks move broadly higher  as NASDAQ hits all-time intraday high
BIIB,Biogen Inc,2015-10-27,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.24%
BIIB,Biogen Inc,2015-10-26,With global outlook weak  many U.S. companies tighten belts
BIIB,Biogen Inc,2015-10-24,Nasdaq may see record with Apple earnings 
BIIB,Biogen Inc,2015-10-21,Biogen to cut 11 percent of workforce  programs  shares rise
BIIB,Biogen Inc,2015-10-02,Novartis biosimilar copycat takes aim at Amgen's drug Enbrel
BIIB,Biogen Inc,2015-09-30,U.S. biotech to apply artificial intelligence to UK genome study
BIIB,Biogen Inc,2015-09-29,U.S. biotech bloodbath hits hedge funds but some bargains emerge
BIIB,Biogen Inc,2016-06-07,S&P edges closer to record high; energy shares lead
BIIB,Biogen Inc,2016-06-07,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.10%
BIIB,Biogen Inc,2016-06-07,U.S. stocks trade higher; oil supports gains  but biotech weighs
BIIB,Biogen Inc,2016-05-09,U.S. stocks mixed  as surge in biotech stocks offset declines in energy
BIIB,Biogen Inc,2016-05-03,Big pharma dominates ranking of stocks with best five-year returns
BIIB,Biogen Inc,2016-04-19,U.S. activist investors finding fewer opportunities; compromise more common 
BIIB,Biogen Inc,2016-04-06,Obama's inversion curbs kill Pfizer's $160 billion Allergan deal
BIIB,Biogen Inc,2016-03-31,U.S. stocks mixed as Dow  S&P 500 post second straight positive quarter
BIIB,Biogen Inc,2016-03-18,Gilead shares look cheap but investors fret over growth
BIIB,Biogen Inc,2016-01-27,Top 5 Things to Know In the Market on Wednesday
BIIB,Biogen Inc,2016-08-04,Biogen not pursuing a sale: source
BIIB,Biogen Inc,2016-08-03,Energy  financial stocks give Wall St. modest lift
BIIB,Biogen Inc,2016-08-02,U.S. stocks dragged down by Oil  Autos as Dow posts 7th straight loss
BIIB,Biogen Inc,2016-08-02,Wall St. falls as weak auto sales spur growth jitters
