code,company,date,text
BKNG,Booking Holdings Inc,2019-04-24,Exclusive: Behind Airbnb's bet on show business to hook travelers
BKNG,Booking Holdings Inc,2019-03-13,Kayak soothes nervous Boeing flyers with airplane search filter
BKNG,Booking Holdings Inc,2019-03-06,Exclusive: Grab eyes more funding after record $4.5 billion round in Southeast Asia
BKNG,Booking Holdings Inc,2019-03-03,French tax on internet giants could yield 500 million euros per year: Le Maire
BKNG,Booking Holdings Inc,2019-02-28,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.27%
BKNG,Booking Holdings Inc,2019-02-28,Stocks - Dow Falls as Consumer Discretionary Stocks See Red 
BKNG,Booking Holdings Inc,2019-02-28,U.S. stocks edge downward as Wall Street takes a pause
BKNG,Booking Holdings Inc,2019-02-28,Booking Holdings shares fall 10 percent after weak Europe outlook
BKNG,Booking Holdings Inc,2019-02-27,Booking Earnings beat  Revenue misses In Q4
BKNG,Booking Holdings Inc,2019-02-27,Stocks - U.S. Futures Slip as Powell Says Fed Remains Patient
BKNG,Booking Holdings Inc,2015-01-23,Expedia Inc acquires Travelocity in $280 million deal
BKNG,Booking Holdings Inc,2014-12-22,Dow  S&P end at records in fourth straight day of gains for Wall Street
BKNG,Booking Holdings Inc,2014-12-22,United States stocks higher at close of trade
BKNG,Booking Holdings Inc,2014-11-04,S&P 500  Nasdaq slip; falling oil prices weigh on energy
BKNG,Booking Holdings Inc,2014-10-30,Expedia's third-quarter profit soars 50 percent
BKNG,Booking Holdings Inc,2014-08-11,Wall Street ends up for second day on hopes for Russia relief  
BKNG,Booking Holdings Inc,2014-06-16,U.S. stocks open mixed amid Iraq tensions; Dow Jones down 0.09%
BKNG,Booking Holdings Inc,2014-06-16,U.S. futures edge lower as Iraq crisis weighs; Dow Jones down 0.24%
BKNG,Booking Holdings Inc,2014-06-13,U.S. stocks open higher  UoM report ahead; Dow Jones up 0.11%
BKNG,Booking Holdings Inc,2014-05-08,U.S. stocks end mixed to lower on earnings; Dow rises 0.20%
BKNG,Booking Holdings Inc,2015-08-05,5 Things to Watch This Morning
BKNG,Booking Holdings Inc,2015-06-30,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.13%
BKNG,Booking Holdings Inc,2015-06-02,U.S. stocks fall slightly amid weaker dollar  Greek uncertainties 
BKNG,Booking Holdings Inc,2015-05-18,AT&T working on exclusive content for connected cars
BKNG,Booking Holdings Inc,2015-04-17,Google's EU showdown offers openings to competitors
BKNG,Booking Holdings Inc,2015-04-08,Wall Street sanguine as it heads into worst earnings season in six years 
BKNG,Booking Holdings Inc,2015-03-13,Weak euro to help European companies  force U.S. rivals to adapt
BKNG,Booking Holdings Inc,2015-02-19,Nasdaq gains seventh day; Dow  S&P 500 slip with Wal-Mart
BKNG,Booking Holdings Inc,2015-02-19,U.S. stocks mixed at close of trade
BKNG,Booking Holdings Inc,2015-01-29,U.S. lawmakers seek to end restrictions on travel to Cuba
BKNG,Booking Holdings Inc,2016-02-12,Late-day buying could be start of turnaround
BKNG,Booking Holdings Inc,2015-11-20,Endangered species on Wall Street: The stock split
BKNG,Booking Holdings Inc,2015-11-09,Wall St. indexes drop 1 percent as rate hike looms
BKNG,Booking Holdings Inc,2015-11-09,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 1.00%
BKNG,Booking Holdings Inc,2015-11-09,U.S. stocks fall broadly  amid heightened fears of global slowdown
BKNG,Booking Holdings Inc,2015-11-09,3Q Earnings Season: Retailers In Spotlight This Week
BKNG,Booking Holdings Inc,2015-11-09,Top 5 Things to Know Today
BKNG,Booking Holdings Inc,2015-10-14,Priceline agrees to room-booking deal with TripAdvisor
BKNG,Booking Holdings Inc,2015-09-16,Airlines try to woo customers back to their own websites
BKNG,Booking Holdings Inc,2015-08-05,U.S. Pre-Market Top Movers of the Day - Apple  Disney
BKNG,Booking Holdings Inc,2016-05-04,U.S. stocks fall sharply amid weak jobs data  reports of Trump's GOP win
BKNG,Booking Holdings Inc,2016-05-04,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.56%
BKNG,Booking Holdings Inc,2016-05-04,U.S. stocks move lower on mixed data; oil struggles after inventories
BKNG,Booking Holdings Inc,2016-05-04,Priceline shares tumble after forecast for slower growth
BKNG,Booking Holdings Inc,2016-05-04,Wall Street points to lower open; Dow futures tumble 100 points
BKNG,Booking Holdings Inc,2016-03-22,Wall St. down but pares losses after Brussels blasts
BKNG,Booking Holdings Inc,2016-03-21,Western Union says to expand in Cuba
BKNG,Booking Holdings Inc,2016-02-17,U.S. stocks post first 3-day rally of 2016  amid 5% surge in crude
BKNG,Booking Holdings Inc,2016-02-17,US data buoys investor optimism on Wall Street
BKNG,Booking Holdings Inc,2016-02-17,Wall Street points to higher open; Dow futures climb 100 points
BKNG,Booking Holdings Inc,2016-11-07,Wall St up over 1% as Clinton’s election prospects brighten 
BKNG,Booking Holdings Inc,2016-08-05,U.S. stocks trade higher on nonfarm payroll beat; S&P at all-time high
BKNG,Booking Holdings Inc,2016-08-04,Wall St. flat as investors look to jobs data
