code,company,date,text
C,Citigroup Inc,2019-04-24,Hawaiian Holdings Inc (HA) Q1 2019 Earnings Call Transcript
C,Citigroup Inc,2019-04-24,Sherwin-Williams Co (SHW) Q1 2019 Earnings Call Transcript
C,Citigroup Inc,2019-04-24,Texas Instruments Inc (TXN) Q1 2019 Earnings Call Transcript
C,Citigroup Inc,2019-04-24,American Campus Communities Inc (ACC) Q1 2019 Earnings Call Transcript
C,Citigroup Inc,2019-04-24,JetBlue Airways Corp (JBLU) Q1 2019 Earnings Call Transcript
C,Citigroup Inc,2019-04-24,Polaris Industries Inc (PII) Q1 2019 Earnings Call Transcript
C,Citigroup Inc,2019-04-24,Equity Lifestyle Properties Inc (ELS) Q1 2019 Earnings Call Transcript
C,Citigroup Inc,2019-04-24,CIT Group Inc (CIT) Q1 2019 Earnings Call Transcript
C,Citigroup Inc,2019-04-24,SK Hynix eyeing part of MagnaChip Semiconductor - source
C,Citigroup Inc,2019-04-23,Citi Says U.S. and China Will Nail Deal  Aiding Commodities
C,Citigroup Inc,2019-01-10,China's Yuan Is Set for Best Week Since 2005  With Fed Help
C,Citigroup Inc,2019-01-10,Big Banks’ Bullish CEOs Face a Reckoning After Stock Selloff
C,Citigroup Inc,2019-01-10,HSBC to pay $30 million to settle bond rigging lawsuit in U.S.
C,Citigroup Inc,2019-01-09,Wall Street extends rally as chipmakers rebound
C,Citigroup Inc,2019-01-09,JPMorgan  Citi get roles in $7.5B Saudi bond offering
C,Citigroup Inc,2019-01-08,Fintech company Plaid acquires peer Quovo
C,Citigroup Inc,2019-01-07,Oil Trading Losses May Be No Cause for Panic on China's Sinopec
C,Citigroup Inc,2019-01-07,Wall Street scales back expectations on bank earnings
C,Citigroup Inc,2019-01-07,Stocks - Tesla  Amazon Rise in Premarket; PG&E Plunges
C,Citigroup Inc,2019-01-07,Emerging Markets Get That Goldilocks Feel as Risk-Buying Returns
C,Citigroup Inc,2019-01-14,Financial Stocks Rise in Midday Trading After Citi Earnings
C,Citigroup Inc,2019-01-14,Stocks - Wall Street Falls Amid Global Slowdown Fears  
C,Citigroup Inc,2019-01-14,Stocks - Citigroup  Facebook  Visa  Mastercard Fall in Premarket  PG&E Crashes
C,Citigroup Inc,2019-01-14,ACWA considers supporting solar panel manufacturing in Saudi
C,Citigroup Inc,2019-01-14,Citigroup Misses on Q4 Revenue  Shares Fall
C,Citigroup Inc,2019-01-14,Citigroup beats by $0.06  misses on revenue
C,Citigroup Inc,2019-01-14,China trade shock hits global stocks  commodities
C,Citigroup Inc,2019-01-14,Stocks - U.S. Futures Slip after Chinese Exports Shrink
C,Citigroup Inc,2019-01-14,Top 5 Things to Know in The Market on Monday
C,Citigroup Inc,2019-01-13,S&P 500 Futures Fall on U.S Shutdown and Bank-Earnings Worries
C,Citigroup Inc,2019-01-16,Goldman dealmakers shine in Solomon's maiden quarter
C,Citigroup Inc,2019-01-16,Goldman Sachs and Bank of America Have Strong Earnings Despite Shutdown
C,Citigroup Inc,2019-01-16,Bank stocks rally  wiping out most of December's slump
C,Citigroup Inc,2019-01-16,Citi says female employees earn 29 percent less than men
C,Citigroup Inc,2019-01-16,BofA's loan growth drives better-than-expected profit
C,Citigroup Inc,2019-01-15,Goldman Sachs Q4 2018 Earnings Preview
