code,company,date,text
CVX,Chevron Corp,2019-04-24,Algerian state energy company Sonatrach's CEO sacked: state TV
CVX,Chevron Corp,2019-04-24,Anadarko upped CEO's payout just before Chevron merger deal - WSJ
CVX,Chevron Corp,2019-04-24,Chevron's Surprising Oil Deal Makes Perfect Sense
CVX,Chevron Corp,2019-04-24,Stocks - U.S. Futures Flat as Earnings in Focus; White House Ends Sanctions Waiver
CVX,Chevron Corp,2019-04-22,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.18%
CVX,Chevron Corp,2019-04-22,Stocks - Wall Street Ends Mixed; Oil Shares Rally
CVX,Chevron Corp,2019-04-22,Chevron says Petrobras must prove Pasadena refinery operational - Reuters
CVX,Chevron Corp,2019-04-22,Stocks - Wall Street Falls Ahead of Big Earnings Week  
CVX,Chevron Corp,2019-04-21,Chevron Is Getting a Hidden Gem in the Anadarko Deal
CVX,Chevron Corp,2019-04-21,Economic Calendar - Top 5 Things to Watch This Week
CVX,Chevron Corp,2018-06-22,Dow snaps losing streak on energy lift
CVX,Chevron Corp,2018-06-22,Energy stocks rally after OPEC agrees to moderate production boost
CVX,Chevron Corp,2018-06-21,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.80%
CVX,Chevron Corp,2018-06-20,Pioneer Natural boss says Permian pipelines to reach limit in 3-4 months
CVX,Chevron Corp,2018-06-18,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.41%
CVX,Chevron Corp,2018-06-18,Wall Street dips but off earlier lows; Nasdaq flat
CVX,Chevron Corp,2018-06-18,China's tariffs on U.S. oil would disrupt $1 billion monthly business
CVX,Chevron Corp,2018-06-15,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.34%
CVX,Chevron Corp,2018-06-15,Oil prices plunge ahead of next week's OPEC meeting; energy stocks whacked
CVX,Chevron Corp,2018-06-15,Pipe dream? Chevron  Woodside vie to shape Australia's LNG sector
CVX,Chevron Corp,2018-07-15,China willing to invest $3 billion in Nigerian oil operations: NNPC
CVX,Chevron Corp,2018-07-11,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.88%
CVX,Chevron Corp,2018-07-11,U.S. oil price plunges 5%  Brent -7% as Libyan production returns
CVX,Chevron Corp,2018-07-10,S&P 500 posts highest close since February; futures fall late on tariff fears
CVX,Chevron Corp,2018-07-08,Mexico aims to end foreign fuel imports
CVX,Chevron Corp,2018-07-06,BP in lead to acquire BHP's U.S. onshore shale assets: sources
CVX,Chevron Corp,2018-07-05,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.75%
CVX,Chevron Corp,2018-07-03,ConocoPhillips swaps 16.5% stake in Clair Field for BP's Alaska holdings
CVX,Chevron Corp,2018-07-02,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.15%
CVX,Chevron Corp,2018-06-27,Chevron renewal of Rokan block not a sure thing  Indonesia minister says
CVX,Chevron Corp,2018-07-20,U.S. oil industry lobbies against tighter sanctions on Russia
CVX,Chevron Corp,2018-07-20,Baltimore is latest city to file climate lawsuit against major oil companies
CVX,Chevron Corp,2018-07-20,Baltimore lawsuit blames oil and gas companies for climate change
CVX,Chevron Corp,2018-07-19,Oil majors win dismissal of New York City climate lawsuit
CVX,Chevron Corp,2018-07-18,Microsoft's focus on cloud  partnerships paying off
CVX,Chevron Corp,2018-07-17,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.22%
CVX,Chevron Corp,2018-07-17,Stocks - Nasdaq Closes at Record High as Netflix Pares Losses
CVX,Chevron Corp,2018-07-16,Stocks - Energy Stocks Fall as Oil Prices Sink Below $70
CVX,Chevron Corp,2018-07-16,Wall Street flat as oil slump offsets earnings optimism
CVX,Chevron Corp,2018-07-16,Stocks- Wall Street Flat as Oil Prices Weigh on Earnings Results
CVX,Chevron Corp,2018-07-27,Top 5 Things to Know in the Market on Friday
CVX,Chevron Corp,2018-07-26,BHP Shows Patience Pays in $10.5 Billion BP Deal
CVX,Chevron Corp,2018-07-24,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.79%
CVX,Chevron Corp,2018-07-24,Stocks - Dow Notches Triple-Digit Gains Amid Earnings-Infused Rally
CVX,Chevron Corp,2018-07-23,Bloomberg: Permian should be ripe for M&A but explorers avoid big deals
CVX,Chevron Corp,2018-07-23,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.06%
CVX,Chevron Corp,2018-07-23,Stocks - Dow Closes Modestly Lower; Google Q2 Earnings Top Estimates
CVX,Chevron Corp,2018-07-23,Energy giants opening natural gas spigots  fueling profit rise
CVX,Chevron Corp,2018-07-23,Top 5 Things To Know In The Market On Monday: Trump  Iran  Google
CVX,Chevron Corp,2018-07-22,Economic Calendar - Top 5 Things To Watch This Week: Trade  Earnings  GDP
CVX,Chevron Corp,2018-07-31,BP Boosts Profit as It Seeks to Prove Merits of BHP Shale Deal
CVX,Chevron Corp,2018-07-30,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.57%
CVX,Chevron Corp,2018-07-30,How BP found shale profits with 'crystal ball' oilfield technology
CVX,Chevron Corp,2018-07-27,Exxon a 'show-me' stock as dismal Q2 shows production  cashflow fixes needed
CVX,Chevron Corp,2018-07-27,Stocks - S&P 500 Closes Lower as Twitter  Intel Selloff Trigger Tech Rout
CVX,Chevron Corp,2018-07-27,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.30%
CVX,Chevron Corp,2018-07-27,Exxon Mobil  Chevron earnings miss Wall Street expectations
CVX,Chevron Corp,2018-07-27,Wall Street gains on Amazon boost  robust GDP data
CVX,Chevron Corp,2018-07-27,Stocks- U.S. Futures Inch Up as Investors Look Ahead to GDP Data
CVX,Chevron Corp,2018-07-27,BP pays $10.5 billion for BHP shale assets to beef up U.S. business
CVX,Chevron Corp,2018-08-15,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.54%
CVX,Chevron Corp,2018-08-15,Chevron Falls 3.14% With Earnings In Focus
CVX,Chevron Corp,2018-08-14,Soros Fund Management adds popular tech names  BlackRock in second quarter
CVX,Chevron Corp,2018-08-10,Stocks - Dow Posts Triple-Digit Loss as Turkey Turmoil Spooks Markets
CVX,Chevron Corp,2018-08-10,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.77%
CVX,Chevron Corp,2018-08-08,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.18%
CVX,Chevron Corp,2018-08-08,Stocks - Dow Snaps Four-Day Winning Streak as Trade-War Fears Return
CVX,Chevron Corp,2018-08-03,China plans tariffs on $60 billion of U.S. goods in latest trade salvo
CVX,Chevron Corp,2018-08-02,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.03%
CVX,Chevron Corp,2018-07-31,Big Oil's Winners and Losers Emerge as Crude Prices Surge
CVX,Chevron Corp,2018-09-10,Fuel shippers request FERC to expedite hearing on Colonial Pipeline rates
CVX,Chevron Corp,2018-09-06,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.08%
CVX,Chevron Corp,2018-09-06,Chevron  ConocoPhillips each -3% after BAML downgrades
CVX,Chevron Corp,2018-09-06,Chevron Falls 3.03%
CVX,Chevron Corp,2018-09-04,Tropical Storm Gordon shuts 9% of U.S. Gulf of Mexico oil production
CVX,Chevron Corp,2018-08-31,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.09%
CVX,Chevron Corp,2018-08-28,U.S. energy companies fume over rejected steel tariff exemptions
CVX,Chevron Corp,2018-08-22,Crude oil surges 3% after big drop in U.S. stockpiles
CVX,Chevron Corp,2018-08-16,Citi signs pact with Caterpillar Financial for private label credit card
CVX,Chevron Corp,2018-08-15,Stocks - Dow Downed by Toxic Turkey  Plunging Energy Stocks
CVX,Chevron Corp,2018-09-28,Shell  Chevron bet big in last Brazil oil auction before elections
CVX,Chevron Corp,2018-09-26,Qatar Wants to Get Even Bigger in Gas as Race With U.S. Heats Up
CVX,Chevron Corp,2018-09-24,Oil industry group pledges to cut methane emissions
CVX,Chevron Corp,2018-09-24,Big Oil readies Brazil offshore bets  fearing election result
CVX,Chevron Corp,2018-09-21,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.32%
CVX,Chevron Corp,2018-09-20,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.97%
CVX,Chevron Corp,2018-09-18,Microsoft introduces HoloLens to businesses through Dynamics 365 apps
CVX,Chevron Corp,2018-09-16,Economic Nationalism Is Back in Indonesia as Election Approaches
CVX,Chevron Corp,2018-09-14,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.03%
CVX,Chevron Corp,2018-09-12,As Trump embraces more tariffs  U.S. business readies public fight
CVX,Chevron Corp,2018-10-10,Hurricane Michael cuts 42% of U.S. Gulf of Mexico crude oil output
CVX,Chevron Corp,2018-10-10,Chevron Falls 3%
CVX,Chevron Corp,2018-10-10,Chevron to exit Norway amid broad retreat from North Sea
CVX,Chevron Corp,2018-10-09,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.21%
CVX,Chevron Corp,2018-10-09,Unions accuse Chevron of 'massive' tax avoidance via the Netherlands
CVX,Chevron Corp,2018-10-05,Temporary pipeline conversion to oil to 'come close' to solving Permian woes
CVX,Chevron Corp,2018-10-03,Exclusive: Marathon Oil looks to exit North Sea  joining other U.S. rivals
CVX,Chevron Corp,2018-10-03,After lean years  Big Oil is under pressure to spend
CVX,Chevron Corp,2018-10-02,Exclusive: Exxon explores sale of U.S. Gulf of Mexico assets - sources
CVX,Chevron Corp,2018-10-01,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.73%
CVX,Chevron Corp,2018-10-23,Chevron Falls 3%
CVX,Chevron Corp,2018-10-19,White House Backed Big Oil Over EPA on Finding Methane Leaks
CVX,Chevron Corp,2018-10-19,SolarWinds shares rise 3.2 percent in downsized market debut
CVX,Chevron Corp,2018-10-18,Permian drillers begin selling new lighter crude oil grade
CVX,Chevron Corp,2018-10-16,Mexico's Lopez Obrador pushes Big Oil to hurry  but offers little
CVX,Chevron Corp,2018-10-15,Brazil far-right candidate could revise pre-salt oil contracts: report
CVX,Chevron Corp,2018-10-12,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 1.15%
CVX,Chevron Corp,2018-10-11,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 2.13%
CVX,Chevron Corp,2018-10-11,Chevron Falls 3%
CVX,Chevron Corp,2018-10-11,U.S. business group says Trump China tariffs cost $1.4 billion/month
CVX,Chevron Corp,2018-11-01,Day Ahead: Top 3 Things to Watch
CVX,Chevron Corp,2018-10-29,Chevron Falls 3%
CVX,Chevron Corp,2018-10-26,Global oil pricing worries hit U.S. energy shares as earnings loom
CVX,Chevron Corp,2018-10-25,Exclusive: Chevron in talks to buy Brazilian oil company's Texas refinery - sources
CVX,Chevron Corp,2018-10-24,Chevron agrees to pay $163M in settlement over pollution violations
CVX,Chevron Corp,2018-10-24,New York sues Exxon for misleading investors on climate change risk
CVX,Chevron Corp,2018-10-24,Chevron settles claims it violated Clean Air Act: U.S. Justice Department
CVX,Chevron Corp,2018-10-23,Marathon inks deal with Sempra's IEnova for Mexican refined fuels terminal
CVX,Chevron Corp,2018-10-23,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.50%
CVX,Chevron Corp,2018-10-23,Crude prices plunge as Saudi Arabia reassures market on supply
CVX,Chevron Corp,2018-11-05,Oil stocks lift S&P 500; Apple pushes Nasdaq lower
CVX,Chevron Corp,2018-11-05,Chevron Rises 3%
