code,company,date,text
FIT,Fitbit Inc,2019-04-22,IPOs: Considerations When Investing In Newly Public Companies
FIT,Fitbit Inc,2019-04-15,Jeff Reeves's Strength in Numbers: How the Disney-Netflix streaming war will create collateral damage
FIT,Fitbit Inc,2019-04-10,Principles of Growth Investing
FIT,Fitbit Inc,2019-04-10,3 Top Small-Cap Stocks to Buy in April
FIT,Fitbit Inc,2019-04-09,Rent the Runway targets girls aged 3 to 12  but does a constant supply of designer labels send the right message? 
FIT,Fitbit Inc,2019-04-06,The Drop in Fitbit Stock Is a Buying Opportunity
FIT,Fitbit Inc,2019-04-05,The Ratings Game: Snap stock gains after new features  but can they make money?
FIT,Fitbit Inc,2019-04-05,Davidson sees Fitbit positives in Snap partnership
FIT,Fitbit Inc,2019-04-04,Serena Williams among latest investors in fitness equipment company Tonal 
FIT,Fitbit Inc,2019-04-02,Fashion Stocks Rising
FIT,Fitbit Inc,2016-11-02,Fitbit forecasts dismal holiday quarter  shares sink
FIT,Fitbit Inc,2016-11-02,U.S. stocks on track for largest losing streak in 5 years with Fed ahead
FIT,Fitbit Inc,2016-11-02,U.S. stocks set to open at 4-month lows with U.S. election  Fed in spotlight
FIT,Fitbit Inc,2016-09-07,Ireland fights to restore investment reputation after Apple ruling
FIT,Fitbit Inc,2016-08-03,U.S. stock futures point lower; Dow on track for 8th straight loss
FIT,Fitbit Inc,2016-08-02,Fitbit shares soar 6% after new products drive revenue in second quarter
FIT,Fitbit Inc,2016-04-01,Energous charges up for more wireless licensing deals
FIT,Fitbit Inc,2016-02-22,Fitbit's weak profit forecast clouds healthy holiday beat
FIT,Fitbit Inc,2016-02-22,Fitbit shares plunge 13%  amid concerns with smartwatch launch
FIT,Fitbit Inc,2016-02-22,Wall Street continues rally as Dow surges 1%
FIT,Fitbit Inc,2017-05-02,Notable earnings after Wednesday’s close
FIT,Fitbit Inc,2017-04-10,Piper Jaffray survey shows more teens than ever plan to go iPhone
FIT,Fitbit Inc,2017-02-15,Fossil's smartwatch push seen eating into margins
FIT,Fitbit Inc,2017-01-15,U.S. insurers get inside cars  mouths  grocery carts in profit search
FIT,Fitbit Inc,2016-12-18,Virtual assistants expected to top virtual reality in holiday sales
FIT,Fitbit Inc,2016-11-10,Fitbit shares rise on purported takeover offer
FIT,Fitbit Inc,2016-11-10,Fitbit volatile on dubious third-party tender offer statement
FIT,Fitbit Inc,2016-11-03,GoPro third quarter revenue drops  cuts full-year forecast
FIT,Fitbit Inc,2016-11-03,U.S. stocks mixed  S&P on track for longest losing streak in 8 years
FIT,Fitbit Inc,2016-11-03,U.S. stocks point to muted open; Facebook drops 6%
FIT,Fitbit Inc,2017-08-02,Fitbit shares rally in after hours on earnings beat
FIT,Fitbit Inc,2017-08-02,Apple set to lead the Dow above 22 000 as futures point higher
FIT,Fitbit Inc,2017-08-02, Top 5 things to know in the market on Wednesday
FIT,Fitbit Inc,2017-07-29,Stocks to watch next week
FIT,Fitbit Inc,2017-06-20,Fitbit links up with NBA's Timberwolves
FIT,Fitbit Inc,2017-06-05,IDC: Apple  Xiaomi led Q1 wearables shipments
FIT,Fitbit Inc,2017-06-02,Analyst: Fitbit product interest still falling off
FIT,Fitbit Inc,2017-05-26,Longbow pulls sell recommendation on FitBit
FIT,Fitbit Inc,2017-05-03,Fitbit +7.2% as Q1 beat suggests corner may be turned
FIT,Fitbit Inc,2017-05-03,Fitbit blazes past its revenue forecast  shares rise
FIT,Fitbit Inc,2017-09-25,Fitbit Ionic smartwatch and Flyer headphones hit retailers Oct. 1
FIT,Fitbit Inc,2017-09-13,Stocks - Fitbit Higher as Ionic Hold Advantages Over New Apple Watch
FIT,Fitbit Inc,2017-09-13,Fitbit +3.6% as Stifel sees key Ionic advantages over Apple Watch
FIT,Fitbit Inc,2017-09-12,Apple set to unveil anniversary iPhone in major product launch
FIT,Fitbit Inc,2017-08-31,IDC: Fitness band wearables decreased for first time in Q2  smartwatches soar
FIT,Fitbit Inc,2017-08-28,Fitbit takes aim at Apple with launch of Smartwatch
FIT,Fitbit Inc,2017-08-28,Fitbit takes aim at Apple with new smartwatch launch
FIT,Fitbit Inc,2017-08-10,Apple comes third in Q2 wearable band shipments
FIT,Fitbit Inc,2017-08-04,Xiaomi tops wearable shipments in Q2  Apple falls to third
FIT,Fitbit Inc,2017-08-03,Fitbit aims to revive fortunes with new smartwatch 
FIT,Fitbit Inc,2018-03-01,Apple wins holiday wearables market with 21% share
FIT,Fitbit Inc,2018-02-27,Fitbit slumps as new smartwatch fails to excite
FIT,Fitbit Inc,2018-02-27,Stocks- U.S. Futures Inch Down Ahead of Powell Debut
FIT,Fitbit Inc,2018-02-26,Day Ahead: Top 3 Things to Watch 
FIT,Fitbit Inc,2018-01-31,Stocks-  U.S. Futures Rise Ahead of Yellen’s Last Fed Meeting
FIT,Fitbit Inc,2017-12-20,IDC: Watches will dominate wearables market in 2021
FIT,Fitbit Inc,2017-11-01,Top 5 Things to Know in the Market on Wednesday
FIT,Fitbit Inc,2017-10-31,Notable earnings after Wednesday’s close
FIT,Fitbit Inc,2017-10-02,Roku slumps 11 percent  on track for first down day
FIT,Fitbit Inc,2017-09-26,FDA selects tech companies for regulatory pilot program
FIT,Fitbit Inc,2018-08-01,Top 5 Things To Know In The Market On Wednesday
FIT,Fitbit Inc,2018-07-20,Apple Watch  FitBit could feel cost of U.S. tariffs
FIT,Fitbit Inc,2018-06-15,Time Warner  NXP Rise in Pre-market  Ford  McDonald’s  Adobe Head Lower…
FIT,Fitbit Inc,2018-06-15,Fitbit's six current  ex-staff indicted in Jawbone trade secrets case
FIT,Fitbit Inc,2018-06-07,Wedbush praises Fitbit's CFO transition; FIT +1.8%
FIT,Fitbit Inc,2018-05-23,Apple Watch shipments up as wearables grow 35% in Q1
FIT,Fitbit Inc,2018-05-02,Stocks - U.S. Futures Push Higher With Earnings  Fed Meeting in Focus
FIT,Fitbit Inc,2018-05-02,Top 5 Things to Know in the Market on Wednesday
FIT,Fitbit Inc,2018-05-01,Notable earnings after Wednesday’s close
