code,company,date,text
HD,Home Depot Inc,2019-04-18,Sears sues Lampert  claiming he looted assets and drove it into bankruptcy
HD,Home Depot Inc,2019-04-13,Better Buy: The Home Depot vs. Sherwin-Williams
HD,Home Depot Inc,2019-04-12,Costco  Home Depot and Other Retail Stocks With Recent Golden Crosses
HD,Home Depot Inc,2019-04-11,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.05%
HD,Home Depot Inc,2019-04-10,U.S.-China trade war is rerouting U.S. import flows: report
HD,Home Depot Inc,2019-04-08,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.32%
HD,Home Depot Inc,2019-04-05,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.15%
HD,Home Depot Inc,2019-04-04,Better Buy: The Home Depot vs. Lowe's
HD,Home Depot Inc,2019-04-03,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.15%
HD,Home Depot Inc,2019-03-26,Cramer: Blooming season has come for Home Depot  Lowe's  Lennar  and D.R. Horton
HD,Home Depot Inc,2017-09-08,US stocks close lower: Nasdaq snaps 2-week winning streak 
HD,Home Depot Inc,2017-09-06,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.25%
HD,Home Depot Inc,2017-09-06,Dow rebounds after Trump agrees deal to avoid government shutdown
HD,Home Depot Inc,2017-09-06,Candy maker Mars looks to curb greenhouse gas emissions across supply chain
HD,Home Depot Inc,2017-09-05,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 1.07%
HD,Home Depot Inc,2017-09-05,US stocks sell off as Dow sheds more than 200 points
HD,Home Depot Inc,2017-09-05,Oppenheimer Global ESG Revenue ETF (ESGF) August Summary
HD,Home Depot Inc,2017-09-05,Oppenheimer ESG Revenue ETF (ESGL) August Summary
HD,Home Depot Inc,2017-08-28,Wall Street closes little changed as Harvey pummels Texas
HD,Home Depot Inc,2017-08-28,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.02%
