code,company,date,text
KO,Coca-Cola Company,2019-04-24,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.55%
KO,Coca-Cola Company,2019-04-24,S&P 500  Nasdaq hit record closing highs on upbeat earnings
KO,Coca-Cola Company,2019-04-24,Coca-Cola ramps up coffee plans
KO,Coca-Cola Company,2019-04-24,Coca-Cola Co (KO) Q1 2019 Earnings Call Transcript
KO,Coca-Cola Company,2019-04-24,Coca-Cola gets a boost from Coke Zero Sugar  Coke Orange Vanilla and mini cans 
KO,Coca-Cola Company,2019-04-24,Stocks making the biggest moves midday: Twitter  Disney  Coca-Cola  Hasbro & more
KO,Coca-Cola Company,2019-04-24,Coca-Cola is making a big push into coffee
KO,Coca-Cola Company,2019-04-24,BAML buys into Coca-Cola's transformation
KO,Coca-Cola Company,2019-04-24,Stocks - Wall Street Inches Up After Twitter  Hasbro Earnings  
KO,Coca-Cola Company,2019-04-24,Gold Prices Fall as Earnings Boost Risk Sentiment
KO,Coca-Cola Company,2017-10-25,Top 5 Things to Know in the Market on Wednesday
KO,Coca-Cola Company,2017-10-24,Notable earnings before Wednesday’s open
KO,Coca-Cola Company,2017-10-24,China shoppers rein in spending on cookies to pop drinks: survey
KO,Coca-Cola Company,2017-10-21,Stocks to watch next week
KO,Coca-Cola Company,2017-10-20,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.71%
KO,Coca-Cola Company,2017-10-20,Dow Jones Closes at Record High as GE Recovers 6% Slump
KO,Coca-Cola Company,2017-10-11,Big win for Big Soda in Chicago
KO,Coca-Cola Company,2017-10-10,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.31%
KO,Coca-Cola Company,2017-10-10,Dow Jones Notches Record High  Wal-Mart Surges Nearly 5%
KO,Coca-Cola Company,2017-10-03,Invesco Diversified Dividend Fund A (LCEAX) September Summary
KO,Coca-Cola Company,2017-11-06,Dow Jones Closes Higher on Dealmaking Revival  
KO,Coca-Cola Company,2017-11-03,Hurricanes  earthquake drag down third-quarter profit at Buffett's Berkshire
KO,Coca-Cola Company,2017-11-03,U.S. dollar enters center stage for earnings
KO,Coca-Cola Company,2017-11-02,Invesco Diversified Dividend Fund A (LCEAX) October Summary
KO,Coca-Cola Company,2017-11-01,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.25%
KO,Coca-Cola Company,2017-11-01,Dow Jones Closes Higher as Fed Leaves Rate Unchanged 
KO,Coca-Cola Company,2017-10-26,Morgan Stanley 'muted' on Coca-Cola's long-term growth
KO,Coca-Cola Company,2017-10-25,Coke's North American sales rise fuels market share gains over Pepsi
KO,Coca-Cola Company,2017-10-25,Coca-Cola Shares Higher Premarket on Earnings Beat
KO,Coca-Cola Company,2017-10-25,Stocks- U.S. Futures Dip Down as Markets Lose Momentum
KO,Coca-Cola Company,2017-11-28,Microsoft  SAP to use and sell more of each other's cloud services
KO,Coca-Cola Company,2017-11-17,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.43%
KO,Coca-Cola Company,2017-11-17,Dow Jones Sheds 100 points  Posts Second Straight Weekly Loss
KO,Coca-Cola Company,2017-11-14,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.13%
KO,Coca-Cola Company,2017-11-14,Dow Jones Closes Lower  General Electric Tumbles Nearly 6%
KO,Coca-Cola Company,2017-11-13,Bernstein talks Amazon aftershocks
