code,company,date,text
MCD,McDonald’s Corporation,2019-04-19,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.42%
MCD,McDonald’s Corporation,2019-04-18,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.42%
MCD,McDonald’s Corporation,2019-04-18,Quarter Pounders get top billing again at McDonald's
MCD,McDonald’s Corporation,2019-04-11,Why McDonald's Is Investing in AI-Powered Retail
MCD,McDonald’s Corporation,2019-04-11,McDonald's Is Paying for the Unexpected in Its Dynamic Yield Purchase
MCD,McDonald’s Corporation,2019-04-09,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.72%
MCD,McDonald’s Corporation,2019-04-08,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.32%
MCD,McDonald’s Corporation,2019-04-06,McDonald's Is About to Make Some Night Owls Angry
MCD,McDonald’s Corporation,2019-04-05,McDonald's to launch an abbreviated late-night menu on April 30
MCD,McDonald’s Corporation,2019-04-05,McDonald's is trimming its late night menu
MCD,McDonald’s Corporation,2017-07-26,Dow hits record high on strong earnings
MCD,McDonald’s Corporation,2017-07-26,Bloomin' Brands declares $0.08 dividend
MCD,McDonald’s Corporation,2017-07-26,U.S. stock futures higher ahead of earnings barrage; Fed in focus
MCD,McDonald’s Corporation,2017-07-25,S&P 500 closes in record territory on bullish earnings
MCD,McDonald’s Corporation,2017-07-25,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.47%
MCD,McDonald’s Corporation,2017-07-25,S&P 500 jumps to record high on busy earnings day
MCD,McDonald’s Corporation,2017-07-25,Jobs lift U.S. consumer confidence to near 16-year high
MCD,McDonald’s Corporation,2017-07-25,Custom burgers  $1 drinks boost McDonald's sales; shares jump
MCD,McDonald’s Corporation,2017-07-25,Restaurant stocks energized by McDonald's results
MCD,McDonald’s Corporation,2017-07-25,Strong earnings boost U.S. stocks  dollar near 13-month low
MCD,McDonald’s Corporation,2017-08-10,Wendy's sized up by Credit Suisse
MCD,McDonald’s Corporation,2017-08-09,BTIG positive on Red Robin Gourmet Burgers
