code,company,date,text
MRK,Merck & Company Inc,2019-04-24,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.55%
MRK,Merck & Company Inc,2019-04-22,FDA OKs Merck’s Keytruda in combination with Inlyta for RCC
MRK,Merck & Company Inc,2019-04-19,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.42%
MRK,Merck & Company Inc,2019-04-18,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.42%
MRK,Merck & Company Inc,2019-04-17,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.01%
MRK,Merck & Company Inc,2019-04-15,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.10%
MRK,Merck & Company Inc,2019-04-15,Merck's Zerbaxa on par with meropenem in late-stage pneumonia study
MRK,Merck & Company Inc,2019-04-12,Versum Materials  Merck KGaA officially sign merger deal
MRK,Merck & Company Inc,2019-04-12,Merck KGaA to buy Versum in all-cash deal valued at 5.8 billion euros
MRK,Merck & Company Inc,2019-04-12,The Daily Biotech Pulse: Merck's Keytruda Clinches Another FDA Win  KemPharm Close To NDA Filing For ADHD Drug
MRK,Merck & Company Inc,2017-09-22,Dow Posts Weekly Gain  Shrugs off Geopolitical Uncertainty  
MRK,Merck & Company Inc,2017-09-22,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.04%
MRK,Merck & Company Inc,2017-09-21,"FDA's Woodcock says clinical trials system ""broken"""
MRK,Merck & Company Inc,2017-09-21,Merck KGaA and Pfizer's avelumab OK'd in Europe for rare skin cancer
MRK,Merck & Company Inc,2017-09-16,Stocks to watch next week
MRK,Merck & Company Inc,2017-09-14,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.20%
MRK,Merck & Company Inc,2017-09-14,Dow Closes at Record High  Shrugs off Spike in Rate Hike Expectations
MRK,Merck & Company Inc,2017-09-11,U.S. tribal patent deal could have big impact on generic drug market
MRK,Merck & Company Inc,2017-09-11,Idera Pharma's IMO-2125 shows encouraging action in early-stage melanoma study; shares ahead 15% premarket
MRK,Merck & Company Inc,2017-09-08,Jamie Dimon ventures beyond Wall Street to have a say in Washington
MRK,Merck & Company Inc,2017-10-09,China to accept out-of-country trial data to speed up drug approvals
MRK,Merck & Company Inc,2017-10-07,Stocks to watch next week
MRK,Merck & Company Inc,2017-10-06,Kitov ups stake in oncology-focused TyrNovo to 92%; shares ahead 9% premarket
MRK,Merck & Company Inc,2017-10-05,Stocks- IBEX 35 Rebounds After Near Record Low As Airline Shares Fall
MRK,Merck & Company Inc,2017-10-03,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.37%
MRK,Merck & Company Inc,2017-10-03,Dow Jones Extends Winning Streak to Fifth Session as Rally Continues
MRK,Merck & Company Inc,2017-10-03,Refugees' health problems in Greece mostly unmet: medical charity
MRK,Merck & Company Inc,2017-10-02,Med stocks up early  biotechs lead
MRK,Merck & Company Inc,2017-09-28,FDA launches new tool aimed at easier access to adverse event data
MRK,Merck & Company Inc,2017-09-22,FDA approves Agilent's Keytruda companion diagnostic test for gastric cancer
MRK,Merck & Company Inc,2017-10-16,"President Trump at it again with comments on ""out of control"" drug prices"
MRK,Merck & Company Inc,2017-10-14,Stocks to watch next week
MRK,Merck & Company Inc,2017-10-13,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.13%
