code,company,date,text
MSFT,Microsoft Corporation,2019-04-24,New Zealand  France plan bid to tackle extremism on social media
MSFT,Microsoft Corporation,2019-04-24,Microsoft Q3 2019 Earnings Preview
MSFT,Microsoft Corporation,2019-04-24,Day Ahead: Top 3 Things to Watch
MSFT,Microsoft Corporation,2019-04-24,S&P 500's Path to Record Goes Through Favorable Tech Setup
MSFT,Microsoft Corporation,2019-04-24,Microsoft employees add support to Chinese tech workers protesting 'grueling' overtime culture
MSFT,Microsoft Corporation,2019-04-24,TD  Microsoft in digital pact
MSFT,Microsoft Corporation,2019-04-23,Microsoft Security Expert says Cyber Criminals now Targeting Korea
MSFT,Microsoft Corporation,2019-04-22,Stocks - Wall Street Ends Mixed; Oil Shares Rally
MSFT,Microsoft Corporation,2019-04-22,Microsoft Korea: Country Faces Growing Threat From Stealth Crypto Mining Attacks
MSFT,Microsoft Corporation,2019-04-22,Top 5 Things to Know in the Market on Monday
MSFT,Microsoft Corporation,2018-11-12,Microsoft Falls 3%
MSFT,Microsoft Corporation,2018-11-12,SAP snatches sentiment tracker Qualtrics from verge of IPO for $8 billion
MSFT,Microsoft Corporation,2018-11-12,Macron and tech giants launch 'Paris call' to fix internet ills
MSFT,Microsoft Corporation,2018-11-09,Microsoft made $1.3 billion in cash payments in GitHub deal
MSFT,Microsoft Corporation,2018-11-09,Microsoft pays $1.3B in cash related to GitHub
MSFT,Microsoft Corporation,2018-11-08,Dropbox tops revenue  profit estimates; shares rise
MSFT,Microsoft Corporation,2018-11-08,Bill Gates  on China trip  lauds free trade - and futuristic toilets
MSFT,Microsoft Corporation,2018-11-08,Cisco works with Amazon to help businesses run apps in the cloud
MSFT,Microsoft Corporation,2018-11-07,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 2.13%
MSFT,Microsoft Corporation,2018-11-07,Microsoft Rises 3%
MSFT,Microsoft Corporation,2018-11-19,Microsoft Falls 3%
MSFT,Microsoft Corporation,2018-11-19, Microsoft Releases Blockchain Development Kit on Azure 
MSFT,Microsoft Corporation,2018-11-16,Google Cloud names Thomas Kurian to replace CEO Diane Greene
MSFT,Microsoft Corporation,2018-11-16,'Crypto hangover' hammers Nvidia's outlook  shares drop 17 percent
MSFT,Microsoft Corporation,2018-11-15,Ex-Bosch engineers aim to strengthen self-driving car software
MSFT,Microsoft Corporation,2018-11-14,Cisco beats as network gear demand rises  new bets pay off
MSFT,Microsoft Corporation,2018-11-13,Amazon picks New York City  Washington D.C. area for new offices
MSFT,Microsoft Corporation,2018-11-13,Cloud security firm Netskope raises $169 million   valuation tops $1 billion
MSFT,Microsoft Corporation,2018-11-13,Israel renews licensing agreement with Microsoft
MSFT,Microsoft Corporation,2018-11-13,Stocks - U.S. Futures Point to Rebound on Earnings  Easing Trade Concerns
MSFT,Microsoft Corporation,2018-11-26,Microsoft Has Caught Up to Apple in Market Value
MSFT,Microsoft Corporation,2018-11-26,WPP combines famous JWT ad agency with digital arm Wunderman
MSFT,Microsoft Corporation,2018-11-25,Logitech ends negotiations to acquire Plantronics
MSFT,Microsoft Corporation,2018-11-23,Exclusive: Logitech in talks to acquire headphone maker Plantronics - sources
MSFT,Microsoft Corporation,2018-11-22, Microsoft Outperforms IBM to Rank as Top BaaS Platform Provider: ABI Research 
MSFT,Microsoft Corporation,2018-11-21,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.00%
MSFT,Microsoft Corporation,2018-11-21,Crypto Mixed as NYSE Owner Delays Bakkt Futures Launch
MSFT,Microsoft Corporation,2018-11-20,Key October releases pace videogame sales to record
MSFT,Microsoft Corporation,2018-11-20,Microsoft Falls 3%
MSFT,Microsoft Corporation,2018-11-20,Google invests $700 million in Danish data center  secures green energy
MSFT,Microsoft Corporation,2018-11-28,Microsoft Tops Apple Again as Most Valuable U.S. Company
MSFT,Microsoft Corporation,2018-11-27,Salesforce beats estimates on cloud demand  shares rise
MSFT,Microsoft Corporation,2018-11-27,FTC head promises look at videogame 'loot boxes'
MSFT,Microsoft Corporation,2018-11-27,FBN drops Proofpoint target on billings deceleration
MSFT,Microsoft Corporation,2018-11-27,Windstream expanding Cloud Connect to serve growing Southwest
MSFT,Microsoft Corporation,2018-11-27,Fearful of bias  Google blocks gender-based pronouns from new AI tool
MSFT,Microsoft Corporation,2018-11-26,Top Fund Buys Tencent and China Stocks  Sells U.S. Tech Giants
MSFT,Microsoft Corporation,2018-11-26,Microsoft's stock market value catches up with Apple
MSFT,Microsoft Corporation,2018-11-26,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 1.46%
MSFT,Microsoft Corporation,2018-11-26,Microsoft Rises 3%
MSFT,Microsoft Corporation,2018-11-29,Grab  Go-Jek wage street fight for SE Asia 'super-app' supremacy
MSFT,Microsoft Corporation,2018-11-29,WSJ: White House plans tech exec roundtable
MSFT,Microsoft Corporation,2018-11-29,Stocks - U.S. Futures Pull Back with G20  Fed Minutes Ahead
MSFT,Microsoft Corporation,2018-11-29,U.S. Army could become major HoloLens customer
MSFT,Microsoft Corporation,2018-11-28,Microsoft wins $479.2 million contract from U.S. Army
MSFT,Microsoft Corporation,2018-11-28,Microsoft declares $0.46 dividend
MSFT,Microsoft Corporation,2018-11-28,Cloud storage firm Box reports smaller-than-expected loss  shares rise
MSFT,Microsoft Corporation,2018-11-28,Wall Street jumps as Powell hints interest rate hikes may taper off
MSFT,Microsoft Corporation,2018-11-28,Microsoft's stock market value pulls ahead of Apple's
MSFT,Microsoft Corporation,2018-11-28,Microsoft Rises 3%
MSFT,Microsoft Corporation,2018-12-04,Stocks - Cronos  RH Soar in Premarket; Dollar General  Toll Brothers Slide
MSFT,Microsoft Corporation,2018-12-03,Amazon briefly edges out Apple for most valuable company
MSFT,Microsoft Corporation,2018-12-03,Grab invests $100 million in Indian hotel startup OYO: source
MSFT,Microsoft Corporation,2018-11-30,Microsoft overtakes Apple as most valuable U.S. company
MSFT,Microsoft Corporation,2018-11-30,Microsoft's market value overtakes Apple's to close out week
MSFT,Microsoft Corporation,2018-11-30,Videogame sales rise 24% in Q3 summary look
MSFT,Microsoft Corporation,2018-11-29,Grab  Go-Jek wage street fight for SE Asia 'super-app' supremacy
MSFT,Microsoft Corporation,2018-11-29,Dell posts revenue jump ahead of voting on VMware offer
MSFT,Microsoft Corporation,2018-11-29,White House to hold roundtable with tech executives on innovation
MSFT,Microsoft Corporation,2018-11-29,GameStop cuts full-year profit forecast  shares fall 11 pct
MSFT,Microsoft Corporation,2018-12-07,Huawei arrest stokes fears of China reprisals among America Inc executives
MSFT,Microsoft Corporation,2018-12-07,Microsoft Falls 3%
MSFT,Microsoft Corporation,2018-12-07,Licking their wounds  fund managers prep for rally in '19
MSFT,Microsoft Corporation,2018-12-07,White House huddles with tech executives on future of jobs
MSFT,Microsoft Corporation,2018-12-06,Microsoft adopts ethical principles aiming to bar misuse of face recognition technology
MSFT,Microsoft Corporation,2018-12-06,Taking aim at Intel  Qualcomm launches chip for business PCs
MSFT,Microsoft Corporation,2018-12-06,Microsoft Falls 3%
MSFT,Microsoft Corporation,2018-12-04,HPE quarterly results top estimates on higher server demand
MSFT,Microsoft Corporation,2018-12-04,Microsoft Falls 3%
MSFT,Microsoft Corporation,2018-12-04,Nasdaq acquires alternative data provider Quandl
MSFT,Microsoft Corporation,2018-12-11,Twitter Jumps a Technical Level Midday; Apple Slips to 3rd in Market Cap
MSFT,Microsoft Corporation,2018-12-11,Amazon plans chips in Intel's territory
MSFT,Microsoft Corporation,2018-12-11,Microsoft Rises 3%
MSFT,Microsoft Corporation,2018-12-11,Invesco QQQ ETF (QQQ) November Summary
MSFT,Microsoft Corporation,2018-12-10,Almost half of S&P 500 stocks in a bear market
MSFT,Microsoft Corporation,2018-12-10,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.14%
MSFT,Microsoft Corporation,2018-12-10,Deep losses leave Big Tech with small earnings multiples
MSFT,Microsoft Corporation,2018-12-10,Report: Zuckerberg turns to Microsoft's Smith for advice
MSFT,Microsoft Corporation,2018-12-07,Exclusive: Chat-service firm Slack taps Goldman Sachs to lead IPO - sources
