code,company,date,text
ORCL,Oracle Corporation,2019-04-24,Oracle turns to innovation hubs to drive cultural and business shift to cloud
ORCL,Oracle Corporation,2019-04-18,Retail Cloud Market to Surge Owing to Increased Ability in Leveraging Advanced Cloud Capabilities | Retail Cloud Industry Size  Forecast by Type  Service Model  Deployment
ORCL,Oracle Corporation,2019-04-15,Data Sheet—Amazon’s Cloud Service Goes After Oracle
ORCL,Oracle Corporation,2019-04-12,Jeff Bezos Calls Out Oracle  Walmart  and Target in His Annual Letter
ORCL,Oracle Corporation,2019-04-11,Much to Oracle’s chagrin  Pentagon names Microsoft and Amazon as $10B JEDI cloud contract finalists
ORCL,Oracle Corporation,2019-04-11,MLB roundup: Angels stay hot even without Trout
ORCL,Oracle Corporation,2019-04-11,SAP CEO aims to double market value to 250-300 billion euros by 2023: report
ORCL,Oracle Corporation,2019-04-11,Amazon  Microsoft chosen to compete for Pentagon cloud computing contract
ORCL,Oracle Corporation,2019-04-10,IBM and Oracle are reportedly out of the running for $10 billion government cloud contract
ORCL,Oracle Corporation,2019-04-10,Oracle Exec: 50% Of Companies Will Use Blockchain Tech in Next Three Years
ORCL,Oracle Corporation,2017-12-15, Stocks-  U.S. Futures Increase as Tax Concerns Linger
ORCL,Oracle Corporation,2017-12-14,Team New Zealand boss endorses America's Cup preferred base venue
ORCL,Oracle Corporation,2017-12-14,Oracle beats by $0.02  beats on revenue
ORCL,Oracle Corporation,2017-12-09,Stocks to watch next week
ORCL,Oracle Corporation,2017-12-08,November payrolls report lifts Wall Street
ORCL,Oracle Corporation,2017-12-07,Oracle's Safra Catz among two new members named to Disney board
ORCL,Oracle Corporation,2017-12-06,Google beats class action sex bias claims  for now
ORCL,Oracle Corporation,2017-12-04,Invesco Equity and Income Fund A (ACEIX) November Summary
ORCL,Oracle Corporation,2017-11-29,Amazon adopts open cloud technology as competition heats up
ORCL,Oracle Corporation,2017-11-29,Amazon Web Services announces new AI products
ORCL,Oracle Corporation,2017-12-27,China Information Technology announces $1M contract
ORCL,Oracle Corporation,2017-12-21,U.S. tax bill provision likely to spark EU trade dispute: legal experts
ORCL,Oracle Corporation,2017-12-20,Jefferies: Amazon tops cloud market revenue  Alibaba has largest Y/Y market growth
ORCL,Oracle Corporation,2017-12-20,Tax overhaul may add fresh fuel to red-hot tech rally
ORCL,Oracle Corporation,2017-12-19,SoftBank leads $120M round in AI-backed insurance firm
ORCL,Oracle Corporation,2017-12-18,Oracle pays $1.2B for construction team management company
ORCL,Oracle Corporation,2017-12-17,Asian Shares Mostly Higher With The Nikkei 225 Up Over 1%
ORCL,Oracle Corporation,2017-12-17,Oracle Corp to buy Australia's Aconex for $1.19 billion
ORCL,Oracle Corporation,2017-12-15,Stocks-  Wall Street Recovers From Tax Scare
ORCL,Oracle Corporation,2017-12-15,Premarket Losers as of 9:05 am
ORCL,Oracle Corporation,2018-01-16,Oracle issues security patches for chip flaws
ORCL,Oracle Corporation,2018-01-16,BofA Tops IBM  Payments Firms With Most Blockchain Patents
ORCL,Oracle Corporation,2018-01-12,Facebook's Sandberg  Twitter's Dorsey to leave Disney board
ORCL,Oracle Corporation,2018-01-12,Premarket Gainers as of 9:05 am
ORCL,Oracle Corporation,2018-01-10,Sailing: Holroyd boards Ainslie's Land Rover BAR as chief designer
ORCL,Oracle Corporation,2018-01-05,CES kicks off with no lead women speakers or code of conduct
ORCL,Oracle Corporation,2018-01-05,Tennis: Nishikori set to launch comeback in Newport Beach
ORCL,Oracle Corporation,2018-01-04,Invesco Equity and Income Fund A (ACEIX) December Summary
ORCL,Oracle Corporation,2018-01-03,S&P 500 tops 2 700 on tech advance; Dow  Nasdaq hit records
ORCL,Oracle Corporation,2018-01-02,The Information: Amazon  Salesforce seeking Oracle alternatives
ORCL,Oracle Corporation,2018-02-09,Sanctions bolstering Russian IT sector  IBS Group CEO says
ORCL,Oracle Corporation,2018-02-08,"S&P: Tech sector could ""never look the same again"" after tax reform harm"
ORCL,Oracle Corporation,2018-02-05,U.S. tax overhaul may drain $2 trillion from foreign projects: U.N.
ORCL,Oracle Corporation,2018-01-31,Alibaba-backed online lender MYbank owes cost-savings to home-made tech
ORCL,Oracle Corporation,2018-01-25,U.S. Treasury official says CFIUS overworked  supports overhaul
ORCL,Oracle Corporation,2018-01-23,Finjan +6.4% on Q4  FY17 revenue beats
ORCL,Oracle Corporation,2018-01-19,Puerto Rico board grills officials on found money  years of accounting woes
ORCL,Oracle Corporation,2018-01-18,Meet the names in the Amplify blockchain ETF
ORCL,Oracle Corporation,2018-01-18,Tax Law Changes Already Showing Up in Corporate Earnings 
ORCL,Oracle Corporation,2018-01-17,Tom Siebel's billion-dollar software firm raises $100 million
ORCL,Oracle Corporation,2018-03-14,Theranos and its founder settle U.S. fraud charges: SEC
ORCL,Oracle Corporation,2018-03-14,Sailing: Spithill relishes Italian adventure and beast of a challenge
ORCL,Oracle Corporation,2018-03-13,Top Tech Stocks Of The Bull Market 
ORCL,Oracle Corporation,2018-03-06,Romanian firm emerges as leader in automating business tasks
ORCL,Oracle Corporation,2018-02-28,Analysts shift Fortinet price targets after analyst day
ORCL,Oracle Corporation,2018-02-26,Telaria misses on revenue
ORCL,Oracle Corporation,2018-02-24,Buffett says 'terrible mistake' for long-term investors to be in bonds
ORCL,Oracle Corporation,2018-02-24,Venture capital deals of the week
ORCL,Oracle Corporation,2018-02-16,Quotes from the Pyeongchang Winter Games on day seven
ORCL,Oracle Corporation,2018-02-15,Oracle acquires IT system security company
ORCL,Oracle Corporation,2018-03-20,Exclusive: Salesforce in advanced talks to buy MuleSoft - sources
ORCL,Oracle Corporation,2018-03-20,Stocks- Wall Street Rises as Investors Look Ahead to the Fed
ORCL,Oracle Corporation,2018-03-20,Stocks- U.S. Futures Mixed as Facebook Data Leak  Trade War Weighs
ORCL,Oracle Corporation,2018-03-20,European stocks struggle as tech tumbles  Publicis turns lower
ORCL,Oracle Corporation,2018-03-20,Global stocks tread water ahead of Fed meeting
ORCL,Oracle Corporation,2018-03-19,After Hours Gainers / Losers (3/19/2018)
ORCL,Oracle Corporation,2018-03-19,Oracle beats by $0.11   revenue in-line
ORCL,Oracle Corporation,2018-03-19,Stocks- Facebook Data Leak  Political Uncertainty Weighs on Markets
ORCL,Oracle Corporation,2018-03-19,Economic Calendar: Top Things to Watch 
ORCL,Oracle Corporation,2018-03-15,CNBC: AWS planning ready-to-use corporate training
ORCL,Oracle Corporation,2018-03-27,LinkedIn's Ten Most-Attractive Employers 
