code,company,date,text
PFE,Pfizer Inc,2019-04-24,Drones to deliver vaccines  blood and drugs across Ghana
PFE,Pfizer Inc,2019-04-24,Pfizer and BMY's Eliquis beating J&J and Bayer's Xarelto
PFE,Pfizer Inc,2019-04-19,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.42%
PFE,Pfizer Inc,2019-04-19,Brainstorm Health: Civica Rx Headquarters  Lilly Pfizer Pain Drug  Flu Season
PFE,Pfizer Inc,2019-04-18,Lilly and Pfizer's tanezumab shows mixed results in late-stage osteoarthritis study
PFE,Pfizer Inc,2019-04-18,Pfizer  Lilly shares decline as osteoarthritis drug misses goals in study
PFE,Pfizer Inc,2019-04-18,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.42%
PFE,Pfizer Inc,2019-04-18,Pfizer's stock falls 1.2%  has lost 6.4% the past three sessions
PFE,Pfizer Inc,2019-04-17,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.01%
PFE,Pfizer Inc,2019-04-17,Pfizer Falls 3%
PFE,Pfizer Inc,2018-02-12,U.S. investment adviser gets prison for insider trading on Pfizer-King deal
PFE,Pfizer Inc,2018-02-12,Daré Bioscience up 37% premarket on license deal for FSAD candidate
PFE,Pfizer Inc,2018-02-08,Reckitt  GSK balance risk-reward in high-stakes Pfizer fight
PFE,Pfizer Inc,2018-02-08,ViiV Healthcare sues Gilead for patent infringement over bictegravir
PFE,Pfizer Inc,2018-02-05,Lawyer Andrei Iancu confirmed to lead U.S. patent office
PFE,Pfizer Inc,2018-02-02,Cisco cuts stake in litigation opponent Finjan to zero
PFE,Pfizer Inc,2018-02-02,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 2.54%
PFE,Pfizer Inc,2018-02-02,Exclusive: Merck's consumer health sale at risk as Nestle bows out - sources
PFE,Pfizer Inc,2018-02-01,Diffusion Pharma awarded two U.S. patents covering lead candidate TSC; shares up 10%
PFE,Pfizer Inc,2018-01-31,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.28%
PFE,Pfizer Inc,2018-01-31,Big biopharma firms poised to end session in the red after Trump comments on high prices
PFE,Pfizer Inc,2018-01-31,US Stocks Rebound to Close Higher; Tech Earnings Eyed
PFE,Pfizer Inc,2018-01-30,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 1.37%
PFE,Pfizer Inc,2018-01-30,Dow Jones Suffers Biggest Fall Since August  Sheds 360 Points
PFE,Pfizer Inc,2018-01-30,Pfizer sees upbeat 2018 on lower tax rate  shares dip after highs
PFE,Pfizer Inc,2018-01-30,Resolution of regulatory issues at Pfizer's McPherson site boosts Achaogen  up 12%
PFE,Pfizer Inc,2018-01-30,Height weighs in on Amazon/Berkshire/JPMorgan healthcare venture
PFE,Pfizer Inc,2018-01-30,Momenta Pharma sees market launch of Glatopa 40 mg by mid-year; shares ahead 8% premarket
PFE,Pfizer Inc,2018-01-30,U.S. Stock Futures Trading Sharply Lower Ahead of Open 
PFE,Pfizer Inc,2018-01-30,Top 5 Things to Know in the Market on Tuesday
PFE,Pfizer Inc,2018-03-21,Reckitt Benckiser pulls out of Pfizer consumer health auction
PFE,Pfizer Inc,2018-03-19,FDA accepts Pfizer's marketing application for expanded use of Xtandi
PFE,Pfizer Inc,2018-03-14,Voyager Therapeutics reports Q4 results
PFE,Pfizer Inc,2018-03-08,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.33%
PFE,Pfizer Inc,2018-03-01,Big pharma  big data: why drugmakers want your health records
PFE,Pfizer Inc,2018-02-27,Ionis Pharmaceuticals beats by $0.01  beats on revenue
PFE,Pfizer Inc,2018-02-22,Sangamo Therapeutics Q4 revenues up 47%; shares ahead 7% premarket
PFE,Pfizer Inc,2018-02-21,Momenta Pharmaceuticals EPS in-line  misses on revenue
PFE,Pfizer Inc,2018-02-16,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.08%
PFE,Pfizer Inc,2018-02-15,AbbVie to buy back $10 billion of shares  raises dividend
PFE,Pfizer Inc,2018-04-03,CMS finalizes policies to reduce drug costs for Medicare beneficiaries
PFE,Pfizer Inc,2018-03-29,Alnylam and Ionis in the red on positive late-stage data on Pfizer's amyloidosis drug tafamidis
PFE,Pfizer Inc,2018-03-28,FDA working on policies to boost biosimilars
PFE,Pfizer Inc,2018-03-28,Drugmaker Shire soars as Japan's Takeda considers bid
PFE,Pfizer Inc,2018-03-27,GSK buys out Novartis in $13 billion consumer healthcare shake-up
PFE,Pfizer Inc,2018-03-25,Singapore pharma on recovery path after worst output in decades
PFE,Pfizer Inc,2018-03-25,Israel to launch Big Data health project
PFE,Pfizer Inc,2018-03-23,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 1.77%
PFE,Pfizer Inc,2018-03-23,GSK pulls out of $20 billion race for Pfizer consumer assets
PFE,Pfizer Inc,2018-03-22,Trade jitters send European shares to two-week low
PFE,Pfizer Inc,2018-04-17,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.87%
PFE,Pfizer Inc,2018-04-16,FDA OKs Bristol-Myers' Opdivo + Yervoy for first-line kidney cancer
PFE,Pfizer Inc,2018-04-13,EpiPen shortages seen in Canada  UK but U.S. supply intact
