code,company,date,text
REGN,Regeneron Pharmaceuticals Inc,2019-03-24,Better Buy: Vertex Pharmaceuticals vs. Regeneron Pharmaceuticals
REGN,Regeneron Pharmaceuticals Inc,2019-02-11,Sanofi and Regeneron cut list price of cholesterol drug by 60 percent
REGN,Regeneron Pharmaceuticals Inc,2019-02-06,Regeneron Pharma Earnings  Revenue beat in Q4
REGN,Regeneron Pharmaceuticals Inc,2019-02-06,Top 5 Things to Know in The Market on Wednesday
REGN,Regeneron Pharmaceuticals Inc,2019-02-04,Evolus Rises Midday as Botox Drama Unfolds   
REGN,Regeneron Pharmaceuticals Inc,2019-02-03,Economic Calendar - Top 5 Things to Watch This Week
REGN,Regeneron Pharmaceuticals Inc,2019-01-23,Jefferies bearish on biotechs  sees 6% near-term downside
REGN,Regeneron Pharmaceuticals Inc,2019-01-03,Bristol-Myers to buy Celgene for $74 billion in largest biopharma deal
REGN,Regeneron Pharmaceuticals Inc,2018-12-11,Kiniksa Pharma's lead drug shows positive action in mid-stage pericarditis study
REGN,Regeneron Pharmaceuticals Inc,2018-11-06,Regeneron Pharma Earnings  Revenue beat in Q3
REGN,Regeneron Pharmaceuticals Inc,2015-03-17,Dow posts fifth triple digit loss of March  continuing volatile trend
REGN,Regeneron Pharmaceuticals Inc,2015-03-17,U.S. stocks mixed at close of trade
REGN,Regeneron Pharmaceuticals Inc,2015-03-16,U.S. stocks higher at close of trade
REGN,Regeneron Pharmaceuticals Inc,2015-03-16,U.S. stocks rise broadly  as euro slows rapid descent toward parity
REGN,Regeneron Pharmaceuticals Inc,2015-03-13,Shares in cholesterol drug makers mixed ahead of cardiology conference
REGN,Regeneron Pharmaceuticals Inc,2015-03-05,Wall Street closes up slightly ahead of jobs report
REGN,Regeneron Pharmaceuticals Inc,2015-02-19,U.S. stocks mixed at close of trade
REGN,Regeneron Pharmaceuticals Inc,2015-01-30,U.S. proposes effort to analyze DNA from 1 million people
REGN,Regeneron Pharmaceuticals Inc,2015-01-15,Insight: Big Pharma faces up to new price pressure from aggressive insurers
REGN,Regeneron Pharmaceuticals Inc,2014-12-26,United States stocks higher at close of trade
REGN,Regeneron Pharmaceuticals Inc,2015-09-08,U.S. stocks surge nearly 3%  as China rebound sparks global rally
REGN,Regeneron Pharmaceuticals Inc,2015-08-31,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.69%
REGN,Regeneron Pharmaceuticals Inc,2015-08-10,Sanofi Inks Immuno-Oncology Deal
REGN,Regeneron Pharmaceuticals Inc,2015-07-30,Amgen profit tops Street view  boosts full-year forecast
REGN,Regeneron Pharmaceuticals Inc,2015-06-10,U.S. stocks snap back  as Germany and Greece move closer to a deal
REGN,Regeneron Pharmaceuticals Inc,2015-06-05,Strong jobs report gives Wall St. second straight losing week
REGN,Regeneron Pharmaceuticals Inc,2015-06-05,U.S. stocks mixed  as strong jobs data support 2015 rate hike
REGN,Regeneron Pharmaceuticals Inc,2015-06-05,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.31%
REGN,Regeneron Pharmaceuticals Inc,2015-06-05,Amazon  Google race to get your DNA into the cloud
REGN,Regeneron Pharmaceuticals Inc,2015-05-26,Fight over hot new cholesterol drugs may be won in milligrams
REGN,Regeneron Pharmaceuticals Inc,2016-04-01,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.61%
REGN,Regeneron Pharmaceuticals Inc,2016-03-11,European stocks open sharply higher on ECB stimulus; Dax up 2.11%
REGN,Regeneron Pharmaceuticals Inc,2016-03-09,Another up day for oil helps Wall Street extend its rally
REGN,Regeneron Pharmaceuticals Inc,2015-11-02,U.S. stocks move broadly higher  as NASDAQ hits all-time intraday high
REGN,Regeneron Pharmaceuticals Inc,2015-10-12,U.S. stocks inch up  amid light trading on Columbus Day holiday
REGN,Regeneron Pharmaceuticals Inc,2015-10-12,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.28%
REGN,Regeneron Pharmaceuticals Inc,2015-09-25,U.S. stocks mixed as Nike boosts Dow  biotech's weigh on NASDAQ  S&P 500
REGN,Regeneron Pharmaceuticals Inc,2015-09-25,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.70%
REGN,Regeneron Pharmaceuticals Inc,2015-09-21,U.S. stocks rally  as investors continue to react to Fed decision
REGN,Regeneron Pharmaceuticals Inc,2015-09-08,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 2.42%
REGN,Regeneron Pharmaceuticals Inc,2016-06-17,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.33%
REGN,Regeneron Pharmaceuticals Inc,2016-06-14,U.S. regulator says too many drugmakers chasing same cancer strategy
REGN,Regeneron Pharmaceuticals Inc,2016-05-26,Biotech Regeneron replaces Intel as sponsor of Science Talent Search
REGN,Regeneron Pharmaceuticals Inc,2016-05-17,Pfizer's Anacor deal showcases new wave of eczema therapies 
REGN,Regeneron Pharmaceuticals Inc,2016-05-16,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 1.00%
REGN,Regeneron Pharmaceuticals Inc,2016-05-04,Sanofi sees 'strong strategic' fit with U.S. Medivation
REGN,Regeneron Pharmaceuticals Inc,2016-05-03,Big pharma dominates ranking of stocks with best five-year returns
REGN,Regeneron Pharmaceuticals Inc,2016-04-20,U.S. stocks hold onto gains as Dow hits highest closing level since July
REGN,Regeneron Pharmaceuticals Inc,2016-04-06,Obama's inversion curbs kill Pfizer's $160 billion Allergan deal
REGN,Regeneron Pharmaceuticals Inc,2016-04-01,Wall Street off to a solid start in April
REGN,Regeneron Pharmaceuticals Inc,2016-11-09,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 1.40%
REGN,Regeneron Pharmaceuticals Inc,2016-11-09,Biotechs love Trump  many ahead premarket
REGN,Regeneron Pharmaceuticals Inc,2016-11-07,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 2.08%
REGN,Regeneron Pharmaceuticals Inc,2016-11-04,S&P set to snap losing streak after strong jobs report
REGN,Regeneron Pharmaceuticals Inc,2016-11-01,Pfizer scraps cholesterol fighter  trims profit forecast
REGN,Regeneron Pharmaceuticals Inc,2016-09-26,Sanofi may win U.S. approval of $3 billion eczema drug by March
REGN,Regeneron Pharmaceuticals Inc,2016-09-20,Bayer raises sales targets for top-selling drugs after Monsanto deal
REGN,Regeneron Pharmaceuticals Inc,2016-08-22,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.12%
REGN,Regeneron Pharmaceuticals Inc,2016-07-06,U.S. stocks extend rally amid dovish Fed minutes  global bond yield rout
REGN,Regeneron Pharmaceuticals Inc,2016-06-22,U.S. stocks tick down as Vix soars  after Brexit leave camp gains steam
REGN,Regeneron Pharmaceuticals Inc,2017-04-25,Money flow surges in biotechs  Novartis aims for more early-stage deals
REGN,Regeneron Pharmaceuticals Inc,2017-02-15,Pharma industry shuns Trump push for radical shift at FDA
REGN,Regeneron Pharmaceuticals Inc,2017-02-13,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.70%
REGN,Regeneron Pharmaceuticals Inc,2017-01-06,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.32%
REGN,Regeneron Pharmaceuticals Inc,2017-01-06,Dow comes within 1 point of 20 000; indexes at records
REGN,Regeneron Pharmaceuticals Inc,2016-12-12,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.20%
REGN,Regeneron Pharmaceuticals Inc,2016-11-17,Praluent cardiovascular outcomes study to continue as planned
REGN,Regeneron Pharmaceuticals Inc,2016-11-16,Janus portfolio manager sees more biotech gains on Trump
REGN,Regeneron Pharmaceuticals Inc,2016-11-16,Regeneron and Sanofi's sarilumab beats AbbVie's Humira in late-stage RA study
REGN,Regeneron Pharmaceuticals Inc,2016-11-15,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.29%
REGN,Regeneron Pharmaceuticals Inc,2017-06-20,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.29%
REGN,Regeneron Pharmaceuticals Inc,2017-06-20,Novartis wet AMD candidate brolucizumab matches Eylea in late-stage studies with 12-week dosing; shares ahead 1%
REGN,Regeneron Pharmaceuticals Inc,2017-06-02,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.29%
