code,company,date,text
SLB,Schlumberger NV,2019-04-24,Oil ETF’s Big Components Forecast Rising Spending
SLB,Schlumberger NV,2019-04-22,Halliburton sees signs of price recovery  shares dip
SLB,Schlumberger NV,2019-04-22,Investors Unconvinced By Halliburton’s Shale Optimism
SLB,Schlumberger NV,2019-04-22,Investors unconvinced by Halliburton price recovery claims
SLB,Schlumberger NV,2019-04-22,Energy stocks broadly higher as crude oil prices surges  Halliburton beats Q1 expectations
SLB,Schlumberger NV,2019-04-22,What Halliburton  Schlumberger Earnings Signal as US Iran Sanctions Waivers End
SLB,Schlumberger NV,2019-04-18,Schlumberger NV (SLB) Q1 2019 Earnings Call Transcript
SLB,Schlumberger NV,2019-04-18,The Undeniable Signs Of A Shale Slowdown
SLB,Schlumberger NV,2019-04-18,Stocks - S&P Ends Higher as Earnings Inspire Rebound
SLB,Schlumberger NV,2019-04-18,Wall Street closes slightly higher  industrials lead
SLB,Schlumberger NV,2009-07-07,US STOCKS-Wall St hits 10-week low amid talk of new stimulus
SLB,Schlumberger NV,2009-07-07,US STOCKS-Wall St wilts as new stimulus talk stokes fears
SLB,Schlumberger NV,2009-07-07,US STOCKS-Wall St falls as stimulus talk stirs recovery fears
SLB,Schlumberger NV,2009-07-07,US STOCKS-Recovery worries weigh down Wall St as earnings loom
SLB,Schlumberger NV,2009-07-07,US STOCKS-Wall St falls on recovery worries; earnings loom
SLB,Schlumberger NV,2009-06-11,"""Non-monopoly"" oil firms safe from seizure-Venezuela"
SLB,Schlumberger NV,2008-10-17,GLOBAL MARKETS-U.S. stocks fall on dismal data  oil rises
SLB,Schlumberger NV,2009-10-23,US STOCKS-Microsoft results point Wall St to higher open
SLB,Schlumberger NV,2009-10-23,US STOCKS-Futures edge higher ahead of Microsoft  data
SLB,Schlumberger NV,2009-10-23,REFILE-US STOCKS-Futures edge higher ahead of Microsoft  data
SLB,Schlumberger NV,2009-10-23,US STOCKS-Futures slightly higher ahead of Microsft  data
SLB,Schlumberger NV,2009-08-31,UPDATE 2-Baker Hughes to buy BJ Services for $5.5 billion
SLB,Schlumberger NV,2009-07-24,US STOCKS-Nasdaq drops on Microsoft; Dow  S&P 500 flat
SLB,Schlumberger NV,2009-07-24,US STOCKS-Wall St slips on results from Microsoft  AmEx
SLB,Schlumberger NV,2009-07-24,US STOCKS-Wall St to dip at open  Microsoft  AmEx weigh
SLB,Schlumberger NV,2009-07-24,US STOCKS-Futures point to mixed open; Microsoft  Amazon weigh
SLB,Schlumberger NV,2009-07-24,US STOCKS-Futures flat as Microsoft  Amazon disappoint
SLB,Schlumberger NV,2014-08-07,Offshore Fracking On The Rise In Gulf Of Mexico
SLB,Schlumberger NV,2014-07-21,US Natural Gas Drilling's Unabated Rise Lifting Corporate Profits 
SLB,Schlumberger NV,2014-07-21,Halliburton signals North America demand recovery after two years
SLB,Schlumberger NV,2014-06-18,Companies  Governments Evacuating Expats In Iraq
SLB,Schlumberger NV,2014-06-18,Big Oil Companies Are Evacuating Staff In Iraq
SLB,Schlumberger NV,2014-04-21,Halliburton Posts Strong Quarter On North American Margins
SLB,Schlumberger NV,2014-04-10,Big Banks Brace For A Bad Earnings Season
SLB,Schlumberger NV,2009-10-23,US STOCKS-Wall St falls on weak industrials; transports drag
SLB,Schlumberger NV,2009-10-23,US STOCKS-Dow dips below 10 000; commodities  transports drag
SLB,Schlumberger NV,2009-10-23,US STOCKS-Fall in industrials  chip shares push market down
SLB,Schlumberger NV,2015-01-22,U.S. jobless claims off seven-month high; oil layoffs watched
SLB,Schlumberger NV,2015-01-20,Halliburton  Baker Hughes to lay off thousands as oil slumps
SLB,Schlumberger NV,2015-01-16,Wall Street rallies after five down days; ends down for week  
SLB,Schlumberger NV,2015-01-15,Schlumberger's Profit Plunges 82%  Slashes 9K Jobs
SLB,Schlumberger NV,2014-11-21,Exclusive: With Baker Hughes  Halliburton cements leading North Dakota role
SLB,Schlumberger NV,2014-11-17,Halliburton to buy Baker Hughes for about $35 bln
SLB,Schlumberger NV,2014-11-14,Baker Hughes says in preliminary merger talks with rival Halliburton
SLB,Schlumberger NV,2014-10-17,Wall St. gains one percent on results but S&P down for fourth week
SLB,Schlumberger NV,2014-09-30,Oil Service Giant Pulls Workers From Russia On Sanctions
SLB,Schlumberger NV,2014-09-08,Dow  S&P 500 end lower following drop in energy shares
