code,company,date,text
TSLA,Tesla Inc,2019-04-24,Tesla rival Rivian says Ford Motor invests $500 million in firm
TSLA,Tesla Inc,2019-04-24,Top 5 Things to Know in the Market on Wednesday
TSLA,Tesla Inc,2019-04-24,Tesla upgrades Model S/X  offers lower-priced variants
TSLA,Tesla Inc,2019-04-24,Ford to Invest $500 Million in Rivian  a Tesla Rival
TSLA,Tesla Inc,2019-04-24,Tesla investors await updates from Elon Musk on service  the Shanghai factory and Model 3 margins
TSLA,Tesla Inc,2019-04-24,Tesla Goes Bold
TSLA,Tesla Inc,2019-04-24,Tesla’s New Chip Holds the Key to ‘Full Self-Driving’
TSLA,Tesla Inc,2019-04-24,Tesla upgrades Model S  X cars  brings backs cheaper variants
TSLA,Tesla Inc,2019-04-24,Tesla Q1 2019 Earnings Preview
TSLA,Tesla Inc,2019-04-24,Elon Musk emailed employees about how great Tesla's autonomy day was  but the plan has lots of holes
TSLA,Tesla Inc,2019-03-18,Tesla's stock doesn't trade like it used to
TSLA,Tesla Inc,2019-03-18,Stocks -  Worldpay  Deutsche Rise in Pre-market; Boeing  Walt Disney Fall
TSLA,Tesla Inc,2019-03-18,Tesla shares are about to take a turn for the worse: Piper Jaffray
TSLA,Tesla Inc,2019-03-18,Stocks - U.S. Futures Mixed as Trade Summit Reportedly Postponed to June
TSLA,Tesla Inc,2019-03-17,Bulls & Bears Of The Week: Apple  Kroger  Nike  Oracle  Tesla And More
TSLA,Tesla Inc,2019-03-17,Boeing’s 737 Crash  Tesla’s Model Y  and More News This Week
TSLA,Tesla Inc,2019-03-17,Battery start-ups are raising millions in the battle to crush Tesla
TSLA,Tesla Inc,2019-03-17,Whitney Tilson: Tesla’s Planned Model Y Reveal Event A Total Bust
TSLA,Tesla Inc,2019-03-16,Tesla Unveils Model Y: What You Need to Know
TSLA,Tesla Inc,2019-03-15,How Tesla's Model Y Compares to Other Electric SUVs (Charts)
TSLA,Tesla Inc,2019-03-19,Stocks -  Michaels  Ford up in Pre-market; Tesla Falls
TSLA,Tesla Inc,2019-03-19,Stocks making the biggest moves premarket: General Motors  Tesla  Netflix  Boeing & more
TSLA,Tesla Inc,2019-03-19,Stocks - U.S. Futures Rise as FOMC Meeting Kicks Off
TSLA,Tesla Inc,2019-03-19,Elon Musk Hasn’t Had a Single Tesla Tweet Pre-Approved by a Lawyer  SEC Tells Judge
TSLA,Tesla Inc,2019-03-18,Elon Musk never sought approval for a single Tesla tweet  U.S. SEC tells judge
TSLA,Tesla Inc,2019-03-18,Tesla Is Reportedly Gearing Up for a Big Quarter-End Delivery Push
TSLA,Tesla Inc,2019-03-18,The Model Y Could Save Tesla -- or Destroy It
TSLA,Tesla Inc,2019-03-18,Tesla Wants To Enter India Soon
TSLA,Tesla Inc,2019-03-18,Tesla Doldrums
TSLA,Tesla Inc,2019-03-18,Tesla turns to employees in deliveries push
TSLA,Tesla Inc,2019-03-20,Starbucks sets up $100 million fund to invest in food and retail startups
TSLA,Tesla Inc,2019-03-20,Ford teases electric Mustang 'Pony Car' on Twitter as Musk unveiled Tesla Model Y
TSLA,Tesla Inc,2019-03-20,Wedbush expects Tesla to outperform
TSLA,Tesla Inc,2019-03-20,Stocks - U.S. Futures Muted Ahead of Fed Decision
TSLA,Tesla Inc,2019-03-19,Tesla's Meandering Energy Strategy Is Still Killing Solar
TSLA,Tesla Inc,2019-03-19,Tesla and Elon Musk face many legal fights beyond the SEC
TSLA,Tesla Inc,2019-03-19,Tesla delays price increase to Wednesday after 'unusually high volume'
TSLA,Tesla Inc,2019-03-19,Tesla postpones price hikes for a day
TSLA,Tesla Inc,2019-03-19,Stocks - Wall Street Rises Ahead of Fed Decision
TSLA,Tesla Inc,2019-03-19,Elon Musk's SEC problem is dragging down Tesla's stock
TSLA,Tesla Inc,2019-03-21,Report: Musk presses deliveries as Tesla workers' top priority
TSLA,Tesla Inc,2019-03-21,Elon Musk reportedly calls on all Tesla workers to help with end-of-quarter delivery crush
TSLA,Tesla Inc,2019-03-21,Tesla Lagging Behind Competitors In European EV Markets
TSLA,Tesla Inc,2019-03-21,Tesla Accuses Former Employees and Start-Up Zoox of Stealing Trade Secrets In Lawsuit
TSLA,Tesla Inc,2019-03-21,Tesla is suing former employees and self-driving startup Zoox for allegedly taking secrets
TSLA,Tesla Inc,2019-03-21,A Tesla analyst who just toured the electric-car maker's California and Nevada factories reveals what he saw
TSLA,Tesla Inc,2019-03-21,Stocks - Biogen  Tencent Fall in Pre-market; Micron Rises
TSLA,Tesla Inc,2019-03-21,From California to Oslo: foreign subsidies fuel Norway's e-car boom  for now
TSLA,Tesla Inc,2019-03-20,Cramer: The court can rein in Tesla CEO Elon Musk with one of these three moves
TSLA,Tesla Inc,2019-03-20,Ford adds production of electric vehicles at second North American site
TSLA,Tesla Inc,2019-03-22,Tesla Reboots Customer Referral Program With Less Impressive Perks
TSLA,Tesla Inc,2019-03-22,TRON (TRX) Founder Justin Sun Gathers One Million Followers on Twitter
TSLA,Tesla Inc,2019-03-22,Stocks - Nike  Tiffany Fall in Premarket; Best Buy Rises 
TSLA,Tesla Inc,2019-03-22,Stocks - U.S. Futures Slump on Weak European Data
TSLA,Tesla Inc,2019-03-22,New Clues on Tesla Sales Point to a Recent Drop
TSLA,Tesla Inc,2019-03-22,Tesla joins Apple in trade secret case tied to China's Xpeng: Bloomberg
TSLA,Tesla Inc,2019-03-21,Tesla's Musk tells employees vehicle deliveries 'primary priority' near end of first quarter
TSLA,Tesla Inc,2019-03-21,Tesla revives popular customer-referral program
