code,company,date,text
V,Visa Inc Class A,2019-04-24,Top 5 Things to Know in the Market on Wednesday
V,Visa Inc Class A,2019-04-24,How Safe Are Visa and Its Dividend?
V,Visa Inc Class A,2019-04-24,Visa Q2 2019 Earnings Preview
V,Visa Inc Class A,2019-04-22,Visa unveils platform to build new digital-first payment products
V,Visa Inc Class A,2019-04-22,Top 5 Things to Know in the Market on Monday
V,Visa Inc Class A,2019-04-21,Economic Calendar - Top 5 Things to Watch This Week
V,Visa Inc Class A,2019-04-19,Visa board elects CEO Kelly as chairman
V,Visa Inc Class A,2019-04-19,Mir card payment system looks beyond Russia
V,Visa Inc Class A,2019-04-18,Comic: Markets Brace for Earnings Tsunami As S&P Inches Closer to Record Highs
V,Visa Inc Class A,2019-04-18,Crypto Prices Edge Up; CoinMarketCap to Launch Crypto Benchmark Indices
V,Visa Inc Class A,2017-12-06,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.16%
V,Visa Inc Class A,2017-12-06,Dow Jones Closes Lower as Financials Weigh
V,Visa Inc Class A,2017-12-05,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.45%
V,Visa Inc Class A,2017-12-05,Nasdaq Falls For Second Straight Day as Tech Rebound Fades
V,Visa Inc Class A,2017-12-04,Nasdaq Slumps as Tech Tumbles  Dow Jones Closes at Record 
V,Visa Inc Class A,2017-12-04,Stocks- Wall Street Surges After Tax Bill Approved
V,Visa Inc Class A,2017-12-04,VanEck Vectors Morningstar Wide Moat ETF (MOAT) November Summary
V,Visa Inc Class A,2017-12-01,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.17%
V,Visa Inc Class A,2017-12-01,Flynn Testimony Rocks Wall Street as Dow Jones  Nasdaq Closes Lower
V,Visa Inc Class A,2017-11-29,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.44%
V,Visa Inc Class A,2017-12-31,2017 leaders and laggards
V,Visa Inc Class A,2017-12-29,Boeing  Caterpillar top Dow 2017 standings; GE lags far behind
V,Visa Inc Class A,2017-12-28,Stocks- Wall Street Inches Forward
V,Visa Inc Class A,2017-12-27,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.11%
V,Visa Inc Class A,2017-12-27,Dow Jones Ekes Win as Energy Weighs 
V,Visa Inc Class A,2017-12-19,Bitcoin falls almost 20 percent from recent peak to one-week low
V,Visa Inc Class A,2017-12-19,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.15%
V,Visa Inc Class A,2017-12-19,Dow Jones Snaps 2-Day Winning Streak; Senate Tax Vote Eyed
V,Visa Inc Class A,2017-12-13,EU warns British airlines on post-Brexit flying
V,Visa Inc Class A,2017-12-07,Nasdaq Closes Higher as Tech Rebound Continues
V,Visa Inc Class A,2018-01-18,Dow Jones Closes Lower;  IBM Revenue Grows First Time in 23 Quarters
V,Visa Inc Class A,2018-01-18,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.24%
V,Visa Inc Class A,2018-01-18,Meet the names in the Amplify blockchain ETF
V,Visa Inc Class A,2018-01-16,BofA Tops IBM  Payments Firms With Most Blockchain Patents
V,Visa Inc Class A,2018-01-10,Stocks- Wall Street Falls Amid Concern that China Could Slow U.S. Bond Purchases
V,Visa Inc Class A,2018-01-08,Visa to boost contribution to U.S.-based employees' retirement plan
V,Visa Inc Class A,2018-01-08,Credit card debt on watch
V,Visa Inc Class A,2018-01-05,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.88%
V,Visa Inc Class A,2018-01-05,Dow Jones Bags 200 Points  Notches Best Week Since November
V,Visa Inc Class A,2018-01-04,VanEck Vectors Morningstar Wide Moat ETF (MOAT) December Summary
V,Visa Inc Class A,2018-02-01,Weaker estimates cast shadow over Visa's profit beat
V,Visa Inc Class A,2018-02-01,Visa lower as investors eye operating expenses
V,Visa Inc Class A,2018-02-01,Visa beats by $0.10  beats on revenue
V,Visa Inc Class A,2018-02-01,EBay investors cheer move to ditch PayPal as main payments partner
V,Visa Inc Class A,2018-02-01,Stocks-  U.S. Futures Mixed Ahead of Earnings  Data
V,Visa Inc Class A,2018-02-01,Top 5 Things to Know in the Market on Thursday
V,Visa Inc Class A,2018-01-31,PayPal's shares fall after eBay announces new payment partner
V,Visa Inc Class A,2018-01-31,Notable earnings after Thursday’s close
V,Visa Inc Class A,2018-01-31,Earnings time for Mastercard and Visa
V,Visa Inc Class A,2018-01-24,Exclusive: Brazil central bank looks to rein in fees on debit cards - sources
V,Visa Inc Class A,2018-02-26,Visa to defend tourists' card fees at EU antitrust hearing
V,Visa Inc Class A,2018-02-26,Supreme Court justices skeptical of American Express merchant fees
V,Visa Inc Class A,2018-02-25,Alibaba turns heads as it joins Games sponsorship waltz
V,Visa Inc Class A,2018-02-24,Venture capital deals of the week
V,Visa Inc Class A,2018-02-21,'Peace' doesn't sell at Pyeongchang  say Games sponsors
V,Visa Inc Class A,2018-02-18,Tarnished? Olympic brand mints money like never before
V,Visa Inc Class A,2018-02-09,Stocks- Wall Street Rises as Investor Worry Eases
V,Visa Inc Class A,2018-02-08,Consumer favorites swept into selling wave
V,Visa Inc Class A,2018-02-05,Consumer favorites routed along with rest of market
V,Visa Inc Class A,2018-02-02,Top 5 Things to Know in the Market on Friday
V,Visa Inc Class A,2018-04-26,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.99%
V,Visa Inc Class A,2018-04-25,Stocks- U.S. Futures Fall as Bond Yields Rise
V,Visa Inc Class A,2018-04-25,Top 5 Things to Know in the Market on Wednesday
V,Visa Inc Class A,2018-04-24,Notable earnings after Wednesday’s close
V,Visa Inc Class A,2018-04-24,Day Ahead: Top 3 Things to Watch 
V,Visa Inc Class A,2018-04-23,Top 5 Things to Know in the Market on Monday
V,Visa Inc Class A,2018-04-22,Economic Calendar - Top 5 Things to Watch This Week
V,Visa Inc Class A,2018-03-05,U.S. top court turns away dispute involving Iran's Bank Melli
V,Visa Inc Class A,2018-02-28,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 1.50%
V,Visa Inc Class A,2018-02-28,Visa makes renewable electricity pledge
V,Visa Inc Class A,2018-06-01,Visa says it is suffering service disruption in Europe
V,Visa Inc Class A,2018-05-31,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 1.02%
V,Visa Inc Class A,2018-05-29,Exclusive: India resists lobbying by U.S. payment firms to ease local data storage rules
V,Visa Inc Class A,2018-05-23,China's payment apps scare U.S. bankers: Bloomberg
V,Visa Inc Class A,2018-05-15,Glenview added Express Scripts  exited Apple in Q1
V,Visa Inc Class A,2018-05-10,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.80%
V,Visa Inc Class A,2018-05-05,2018 Berkshire Hathaway annual meeting updates
V,Visa Inc Class A,2018-05-03,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.02%
V,Visa Inc Class A,2018-05-03,Rolls-Royce says working quickly to fix Trent 1000 problems
V,Visa Inc Class A,2018-05-02,Payment processors lower on Amazon Pay report
V,Visa Inc Class A,2018-06-28,Visa  Mastercard close to settling issues over card-swipe fees: WSJ
V,Visa Inc Class A,2018-06-28,Visa  Mastercard close in on settlement over card-swipe fees: WSJ
V,Visa Inc Class A,2018-06-25,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 1.33%
V,Visa Inc Class A,2018-06-25,U.S. Supreme Court backs American Express in merchant fee dispute
V,Visa Inc Class A,2018-06-18,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.41%
V,Visa Inc Class A,2018-06-12,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.01%
V,Visa Inc Class A,2018-06-12,Stocks- Wall Street Mixed After U.S.-North Korea Summit
V,Visa Inc Class A,2018-06-07,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.38%
V,Visa Inc Class A,2018-06-05,Goldman Sachs backs card issuing  processing startup Marqeta
V,Visa Inc Class A,2018-06-01,Visa reports service disruption in Europe
V,Visa Inc Class A,2018-07-25,Stocks - Wall Street Stages Late Rally as EU Agrees to Cut Tariffs
V,Visa Inc Class A,2018-07-25,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.68%
V,Visa Inc Class A,2018-07-25,Top 5 Things To Know In The Market On Wednesday
V,Visa Inc Class A,2018-07-24,Notable earnings after Wednesday’s close
V,Visa Inc Class A,2018-07-23,Top 5 Things To Know In The Market On Monday: Trump  Iran  Google
V,Visa Inc Class A,2018-07-22,Economic Calendar - Top 5 Things To Watch This Week: Trade  Earnings  GDP
V,Visa Inc Class A,2018-07-13,Russian retailers  hotels emerge as World Cup winners
V,Visa Inc Class A,2018-07-11,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.88%
V,Visa Inc Class A,2018-07-11,Stocks- Wall Street Slumps amid Another Round of U.S.-China Tariffs
V,Visa Inc Class A,2018-07-04,Japan's ANA to cancel 113 domestic flights to inspect Rolls-Royce engines
V,Visa Inc Class A,2018-08-21,WhatsApp to clamp down on 'sinister' messages in India: IT minister
V,Visa Inc Class A,2018-08-14,U.S. hedge funds bet on retail  tech in second-quarter as economy sizzled
V,Visa Inc Class A,2018-08-13,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.50%
V,Visa Inc Class A,2018-08-13,The latest portfolio moves by Third Point
V,Visa Inc Class A,2018-08-10,Third Point took new stake in NXP Seminconductors: filing
V,Visa Inc Class A,2018-08-09,Invesco S&P 500 Quality ETF (SPHQ) July Summary
V,Visa Inc Class A,2018-08-08,Crypto’s $600 Billion Crash Hits a New Low
V,Visa Inc Class A,2018-07-30,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.57%
V,Visa Inc Class A,2018-07-26,Visa  Mastercard Fall as Pressure Mounts From Strong U.S. Dollar
V,Visa Inc Class A,2018-07-25,Visa tops profit estimates on higher consumer spending
V,Visa Inc Class A,2018-09-05,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.09%
V,Visa Inc Class A,2018-09-05, Crypto.com Seeks Approval to Issue Crypto Debit Cards in HK 
V,Visa Inc Class A,2018-09-05,Visa Falls 3.02%
V,Visa Inc Class A,2018-09-01,U.S. fund managers trim bank stocks on profit worries
V,Visa Inc Class A,2018-08-29,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.23%
V,Visa Inc Class A,2018-08-24,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.52%
V,Visa Inc Class A,2018-08-23,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.30%
V,Visa Inc Class A,2018-08-22,L Brands Earnings  Revenue Beat in Q2
V,Visa Inc Class A,2018-08-22,Wall Street's sector shakeup will let more tech stocks shine
V,Visa Inc Class A,2018-08-21,Lazard Sees Distressed Deals on Tap for Argentina as GDP Suffers
V,Visa Inc Class A,2018-10-10,Visa Falls 3%
V,Visa Inc Class A,2018-10-09,WhatsApp builds system to comply with India's payments data storage norms
V,Visa Inc Class A,2018-10-08,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.15%
V,Visa Inc Class A,2018-10-08,Visa Falls 3.12%
V,Visa Inc Class A,2018-10-02,U.S. tech sector getting by without Facebook and Alphabet
V,Visa Inc Class A,2018-09-28,Turkey's Erdogan  in Berlin  pledges EU visa push
V,Visa Inc Class A,2018-09-27, 16 Crypto Trading Sites Get Blacklisted by French Market Regulator 
V,Visa Inc Class A,2018-09-26,Foreign airlines to face new rivals on popular China routes as restrictions ease
V,Visa Inc Class A,2018-09-24,Major Thai Bank to Test Visa Blockchain Solution for Cross-Border Payments
V,Visa Inc Class A,2018-09-24,Tech index refresh could give under-the-radar names their day in the sun
V,Visa Inc Class A,2018-10-15,Bahrain minister backs boycott of Uber over Khashoggi case
V,Visa Inc Class A,2018-10-13,Exclusive: U.S. senators urge India to soften data localization stance
V,Visa Inc Class A,2018-10-12,Wall St. rebounds with technology stocks leading the way
V,Visa Inc Class A,2018-10-12,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 1.15%
V,Visa Inc Class A,2018-10-12,Banks See Consumer Loan Costs Drop Despite Rising Rates
V,Visa Inc Class A,2018-10-12,AMD  AutoDesk Lead Tech Rally Midday; Visa Powers Dow
V,Visa Inc Class A,2018-10-12,Visa Rises 4%
V,Visa Inc Class A,2018-10-11,U.S. student appeals Israeli entry ban over boycott
V,Visa Inc Class A,2018-10-11,Competition watchdog to study British Airways alliance
V,Visa Inc Class A,2018-10-10,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 3.15%
V,Visa Inc Class A,2018-09-19,What sector overhaul means for tech stocks  Wall Street
V,Visa Inc Class A,2018-09-18,Visa  Mastercard reach $6.2 billion settlement over card-swipe fees
V,Visa Inc Class A,2018-09-18,Insurer Allianz to sign up as Olympic Games sponsor for 2021-2028
V,Visa Inc Class A,2018-09-17,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.35%
V,Visa Inc Class A,2018-09-16,UK consumers remain most upbeat since 2015: IHS Markit
V,Visa Inc Class A,2018-09-16,UK consumer spending grows at fastest pace since January: Visa
V,Visa Inc Class A,2018-09-12,Tech  media shares find new home in sector overhaul
V,Visa Inc Class A,2018-09-12, Stellar (XLM) Technical Analysis: Bears Kick XLM out of Bullish Pattern 
V,Visa Inc Class A,2018-09-10,Lightyear buys U.S. blockchain start-up Chain; to move business to Stellar
V,Visa Inc Class A,2018-09-06,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.08%
V,Visa Inc Class A,2018-10-23,Visa Set to Launch Blockchain-Based Digital Identity System with IBM in Q1 2019
V,Visa Inc Class A,2018-10-22,Top 5 Things to Know in The Market on Monday
V,Visa Inc Class A,2018-10-21,Goldman-backed fintech startup Marqeta launches in Europe
V,Visa Inc Class A,2018-10-21,Economic Calendar - Top 5 Things to Watch This Week
V,Visa Inc Class A,2018-10-18,AmEx tops profit estimates on higher consumer spending
V,Visa Inc Class A,2018-10-18,Visa Falls 3%
V,Visa Inc Class A,2018-10-16,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 2.17%
V,Visa Inc Class A,2018-10-16,YOUR MONEY - Comic heroes teach kids about finance
V,Visa Inc Class A,2018-10-16,Visa Rises 3%
V,Visa Inc Class A,2018-10-15,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.35%
V,Visa Inc Class A,2009-10-27,US STOCKS-Profit-taking  data weigh on market; Visa up late
V,Visa Inc Class A,2009-10-06,UPDATE 1-Verisk IPO prices above range  raises $1.88 bln
V,Visa Inc Class A,2009-10-06,Santander to list Brazil unit in hot IPO market
V,Visa Inc Class A,2009-06-25,UPDATE 1-VisaNet IPO totals $4.3 bln  at top of range
V,Visa Inc Class A,2008-11-10,FEATURE-Cell phone shopping makes wallets redundant in Japan
V,Visa Inc Class A,2011-05-05,US STOCKS-Economic concerns drag Wall St lower
V,Visa Inc Class A,2011-05-05,US STOCKS-Wall St to open lower on economy concerns
V,Visa Inc Class A,2011-05-05,US STOCKS-Futures drop on worries over economy
V,Visa Inc Class A,2011-05-05,US STOCKS-Futures lower as commodities dip
V,Visa Inc Class A,2009-10-28,US STOCKS-Wall St falls on data  lowered Goldman forecast
V,Visa Inc Class A,2009-10-28,US STOCKS-Wall St tumbles as investors fret about rally's legs
V,Visa Inc Class A,2009-10-28,US STOCKS-Wall St slips after new home sales drop
V,Visa Inc Class A,2009-10-28,US STOCKS-Wall St set for weak open as rally reassessed
V,Visa Inc Class A,2009-10-28,US STOCKS-Futures fall after weak overseas results; data ahead
V,Visa Inc Class A,2009-10-28,US STOCKS-Futures fall  durable goods  home sales on tap
V,Visa Inc Class A,2014-04-09,U.S. stocks rally as Fed ditches rate hike target; Dow gains 1.11% 
V,Visa Inc Class A,2014-04-04,U.S. stocks fall in tech-led selloff; Dow down 0.96%  Nasdaq down 2.60% 
V,Visa Inc Class A,2014-03-31,U.S. stocks gain as Yellen vows support for economy; Dow up 0.82%    
V,Visa Inc Class A,2014-03-28,U.S. stocks trim data-driven gains  brace for earnings; Dow up 0.36%  
V,Visa Inc Class A,2014-03-25,U.S. stocks edge higher on consumer confidence report; Dow up 0.56%    
V,Visa Inc Class A,2014-03-24,U.S. stocks edge lower on factory data  biotech selloff; Dow slips 0.16%
V,Visa Inc Class A,2014-03-13,Why 10 US Companies Are Rooting For An End To The Ukraine Crisis
V,Visa Inc Class A,2014-01-30,Visa shares up 3% after better-than-expected fiscal Q1 earnings
V,Visa Inc Class A,2011-10-26,U.S. stocks higher amid EU talks; Dow Jones up 1.17%
V,Visa Inc Class A,2011-10-26,U.S. futures higher ahead of EU summit; Dow Jones up 0.60%
V,Visa Inc Class A,2014-05-07,U.S. stocks gain on Putin comments  Yellen speech; Dow gains 0.72%
V,Visa Inc Class A,2014-05-05,Russian Sanctions Are Good News For China
V,Visa Inc Class A,2014-05-05,U.S. stocks gain on service sector report; Dow ends up 0.11%
V,Visa Inc Class A,2014-05-01,U.S. stocks slip ahead of jobs data; Dow ends down 0.13%
V,Visa Inc Class A,2014-04-28,MasterCard Stops Services To Sanctioned Russian Banks
V,Visa Inc Class A,2014-04-25,U.S. stocks fall on Ukraine fears; Dow ends down 0.85%
V,Visa Inc Class A,2014-04-16,U.S. stocks rise on Yahoo earnings  data; Dow gains 1.00% 
V,Visa Inc Class A,2014-04-15,U.S. stocks rise on coattails of tech rebound; Dow gains 0.55% 
V,Visa Inc Class A,2014-04-14,U.S. stocks shoot up on retail sales report; Dow gains 0.91% 
V,Visa Inc Class A,2014-04-11,U.S. stocks fall as tech selloff continues; Dow drops 0.89% 
V,Visa Inc Class A,2014-09-02,U.S. stocks end mixed on oil prices  U.S. data; Dow falls 0.18%
V,Visa Inc Class A,2014-09-01,Alibaba IPO Investor Roadshow Curtain May Rise Next Week
V,Visa Inc Class A,2014-08-29,U.S. stocks gain on upbeat consumer sentiment number; Dow up 0.11%
V,Visa Inc Class A,2014-08-28,U.S. stocks fall as Ukraine eclipses upbeat data; Dow falls 0.25%
