code,company,date,text
VZ,Verizon Communications Inc,2019-04-24,AT&T misses revenue estimates as WarnerMedia  wireless unit disappoint
VZ,Verizon Communications Inc,2019-04-24,Top 5 Things to Know in the Market on Wednesday
VZ,Verizon Communications Inc,2019-04-24,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.55%
VZ,Verizon Communications Inc,2019-04-24,Day Ahead: Top 3 Things to Watch
VZ,Verizon Communications Inc,2019-04-24,U.S. business borrowing for equipment falls 10% in March: ELFA
VZ,Verizon Communications Inc,2019-04-24,Verizon Communications Inc (VZ) Q1 2019 Earnings Call Transcript
VZ,Verizon Communications Inc,2019-04-24,Verizon Loses Wireless Subscribers but Raises Profit Guidance
VZ,Verizon Communications Inc,2019-04-24,Verizon Beats on Earnings as Wireless Sales Hit $22.7 Billion
VZ,Verizon Communications Inc,2019-04-24,Verizon raises profit forecast  loses more phone subscribers
VZ,Verizon Communications Inc,2019-04-24,Verizon Falls 3%
VZ,Verizon Communications Inc,2018-05-11,Verizon buying back $2.5B in debt
VZ,Verizon Communications Inc,2018-05-11,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.37%
VZ,Verizon Communications Inc,2018-05-10,U.S. 'net neutrality' rules will expire on June 11: FCC
VZ,Verizon Communications Inc,2018-05-10,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.80%
VZ,Verizon Communications Inc,2018-05-09,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.75%
VZ,Verizon Communications Inc,2018-05-08,U.S. Senate to vote to reinstate open internet rules
VZ,Verizon Communications Inc,2018-05-08,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.01%
VZ,Verizon Communications Inc,2018-05-08,U.S. to reveal winners of drone program that has attracted top companies
VZ,Verizon Communications Inc,2018-05-07,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.39%
VZ,Verizon Communications Inc,2018-05-02,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.72%
VZ,Verizon Communications Inc,2018-06-07,Yahoo's EU regulator orders privacy changes over data breach
VZ,Verizon Communications Inc,2018-06-06,Volatility may hit Wall Street as Alphabet  Facebook leave tech sector group
VZ,Verizon Communications Inc,2018-05-31,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 1.02%
