code,company,date,text
WMT,Walmart Inc,2019-04-24,Exclusive: Behind Airbnb's bet on show business to hook travelers
WMT,Walmart Inc,2019-04-24,EBay raises forecast as redesign draws customers  boosts ad revenue
WMT,Walmart Inc,2019-04-22,Kraft Heinz's new CEO looks beyond cost-cutting  big M&A
WMT,Walmart Inc,2019-04-18,Sears sues Lampert  claiming he looted assets and drove it into bankruptcy
WMT,Walmart Inc,2019-04-18,U.S. pilot program allows online grocery shopping with food stamps
WMT,Walmart Inc,2019-04-18,New Yorkers Can Now Use Food Stamps to Buy Groceries Online
WMT,Walmart Inc,2019-04-18,South Africa's Shoprite cuts chairman Wiese's voting influence
WMT,Walmart Inc,2019-04-18,Amazon  facing entrenched rivals  says to shut China online store
WMT,Walmart Inc,2019-04-18,Exclusive: Advent readies new $2.2 billion Latam private equity fund - sources
WMT,Walmart Inc,2019-04-17,Companies warn Trump: Census citizenship question could be costly
WMT,Walmart Inc,2018-10-09,Walmart Rises 3% on Expectations for Market Share Gain
WMT,Walmart Inc,2018-10-09,Walmart Canada exploring possible sale of cannabis-based products
WMT,Walmart Inc,2018-10-08,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.15%
WMT,Walmart Inc,2018-10-08,Chickens and eggs: Retailer Carrefour adopts blockchain to track fresh produce
WMT,Walmart Inc,2018-10-08,Stocks -  Rowan  Apple Fall in Pre-market; Ford Rises
WMT,Walmart Inc,2018-10-08,Walmart partners with MGM to boost video-on-demand service Vudu
WMT,Walmart Inc,2018-10-04,Ahead of holidays  FedEx leans on special bonuses to keep pilots from retiring
WMT,Walmart Inc,2018-10-03,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.20%
WMT,Walmart Inc,2018-10-03,U.S. retailer group sees 2018 holiday sales up more than 4 percent
WMT,Walmart Inc,2018-10-02,Amazon raises minimum wage to $15  urges rivals to follow
WMT,Walmart Inc,2018-10-12,Amazon says India customer base surges during festive sale
WMT,Walmart Inc,2018-10-12,Empty shelves  poor customer service speed Sears' demise
WMT,Walmart Inc,2018-10-11,Exclusive: Sears CEO Lampert explores bidding for assets in bankruptcy - sources
WMT,Walmart Inc,2018-10-11,India's Flipkart confident of bumper sales season; says Amazon losing relevance
WMT,Walmart Inc,2018-10-11,Walmart to pay $65 million to settle lawsuit over seating for cashiers
WMT,Walmart Inc,2018-10-11,Sears skips payments to vendors amid bankruptcy concerns
WMT,Walmart Inc,2018-10-11,Walmart to invest $250 million in joint venture with content firm Eko: source
WMT,Walmart Inc,2018-10-10,Sears prepares to file for bankruptcy in coming days: sources
WMT,Walmart Inc,2018-10-10,Nvidia aims to woo business analysts with new software
WMT,Walmart Inc,2018-10-09,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.21%
WMT,Walmart Inc,2018-10-15,Bloomberg: Walmart considering streaming service to take on Amazon
WMT,Walmart Inc,2018-10-15,Amazon India say services boosting large appliance sales
WMT,Walmart Inc,2018-10-15,MarketPulse: Consumer Staples Rise as Investors Keep Playing Defense
WMT,Walmart Inc,2018-10-15,Cannabis college: Canadian students learn to grow pot
WMT,Walmart Inc,2018-10-15,Stocks - Bank of America Gains in Pre-market; Sears Tanks  Disney Falls
WMT,Walmart Inc,2018-10-15,Sears  once a retail titan  files for Chapter 11 bankruptcy
WMT,Walmart Inc,2018-10-14,Exclusive: Sears CEO steps in for bankruptcy financing - sources
WMT,Walmart Inc,2018-10-12,Walmart acquires online lingerie retailer Bare Necessities
WMT,Walmart Inc,2018-10-12,Walmart to buy online intimates retailer Bare Necessities
WMT,Walmart Inc,2018-10-12,Exclusive: Sears aims to close up to 150 stores in bankruptcy - sources
WMT,Walmart Inc,2018-10-18,China's JD.com unwraps FedEx-style parcel business to bolster sales
WMT,Walmart Inc,2018-10-16,Target adds new space  more toys for holiday season
WMT,Walmart Inc,2018-10-16,Wall St. rallies over 2 percent with earnings  data boost
WMT,Walmart Inc,2018-10-16,Stocks - Dow Jumps  S&P Soars as Bullish Earnings Stoke Risk Appetite 
WMT,Walmart Inc,2018-10-16,Walmart warns it will 'test a lot  fail a lot;' cuts profit forecast
WMT,Walmart Inc,2018-10-16,Sears faces tough foe: an unforgiving bankruptcy code
WMT,Walmart Inc,2018-10-16,Stocks - Wall Street Rises on Upbeat Earnings 
WMT,Walmart Inc,2018-10-16,Stocks - Goldman Sachs  Morgan Stanley Gain in Pre-market; BlackRock Falls
WMT,Walmart Inc,2018-10-16,Stocks- U.S. Futures Rise Amid Upbeat Earnings Results
WMT,Walmart Inc,2018-10-16,Walmart Cuts Full Year Earnings Guidance
WMT,Walmart Inc,2018-10-25,Amazon's holiday season sales outlook misses views; shares sink
WMT,Walmart Inc,2018-10-25,StoneCo shares pop 33 percent in debut  hits $9 billion valuation
WMT,Walmart Inc,2018-10-24,What Minimum-Wage Foes Got Wrong About Seattle
WMT,Walmart Inc,2018-10-23,Target's two-day holiday shipping option beats Amazon  Walmart
WMT,Walmart Inc,2018-10-23,Walmart expands free shipping offer
WMT,Walmart Inc,2018-10-23,Israel's Team8 launches $85 million cybersecurity and data fund
WMT,Walmart Inc,2018-10-23,Holiday shopping competition heats up
WMT,Walmart Inc,2018-10-22,Alibaba's Ant Financial Joins Warren Buffett in Hot Brazil Fintech IPO
WMT,Walmart Inc,2018-10-22,Truck makers rev up for rollout of electric big rigs
WMT,Walmart Inc,2018-10-21,Exclusive: Sears chairman Lampert seeks partner for bankruptcy financing - sources
WMT,Walmart Inc,2018-11-04,Consumer companies try price hikes as U.S. wages climb
WMT,Walmart Inc,2018-11-01,U.S. judge shreds main claim in Parmesan cheese labeling lawsuits
WMT,Walmart Inc,2018-11-01,Graph database firm Neo4j raises $80 million in funding round
WMT,Walmart Inc,2018-10-31,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.97%
WMT,Walmart Inc,2018-10-31,Walmart India to spend $500 million to open 47 stores: report
WMT,Walmart Inc,2018-10-30,Same-day delivery company Deliv raises $40 million in latest funding round
WMT,Walmart Inc,2018-10-30,Walmart kicks off U.S. holiday season with faster checkout  digital store maps
WMT,Walmart Inc,2018-10-26,Walmart  Michigan retirement fund reach $160M settlement
WMT,Walmart Inc,2018-10-26,Sears directors tap Evercore to examine former CEO Lampert's deals -sources
WMT,Walmart Inc,2018-10-26,Weak Amazon  Alphabet results ignite growth worries
WMT,Walmart Inc,2018-11-12,Top 5 Things to Know in The Market on Monday
WMT,Walmart Inc,2018-11-11,Economic Calendar - Top 5 Things to Watch This Week
WMT,Walmart Inc,2018-11-09,Investors focus on retailers as wages rise
WMT,Walmart Inc,2018-11-08,Stocks - Roku  Qualcomm Plunge in Pre-market; TripAdvisor Surges  Tesla Rises
WMT,Walmart Inc,2018-11-08,Walmart will offer Black Friday deals earlier this year
WMT,Walmart Inc,2018-11-07,Ahold ups stakes in U.S. grocery war with mini-'robot supermarkets'
WMT,Walmart Inc,2018-11-06,Higher prices  lending curbs dim Diwali festival for Indian retailers
WMT,Walmart Inc,2018-11-05,Amazon hiring thousands of delivery drivers for holiday season
WMT,Walmart Inc,2018-11-05,Amazon drops free-shipping minimum in race for holiday sales
WMT,Walmart Inc,2018-11-04,Vying for Vuitton: China's e-commerce rivals seek luxury stranglehold
WMT,Walmart Inc,2018-11-14,Stocks - Snap  PG&E  Canopy Growth Plunge in Pre-market; Pfizer Drops
WMT,Walmart Inc,2018-11-14,Ford  Walmart to collaborate on designing automated-vehicle delivery
WMT,Walmart Inc,2018-11-14,Bain Capital Backs $2.25 Million Round for Bitcoin Rewards Startup Lolli
WMT,Walmart Inc,2018-11-13,CEO of Walmart's India venture resigns after sexual assault accusation: source
WMT,Walmart Inc,2018-11-13,Stocks - Wall Street Rises as Trade Tensions Ease
WMT,Walmart Inc,2018-11-13,Walmart  Home Depot adopt health insurer tactic in drug copay battle
WMT,Walmart Inc,2018-11-13,Flipkart CEO Bansal resigned after sexual misconduct claim: source
WMT,Walmart Inc,2018-11-13,Stocks - Home Depot  GE  Amazon  Snap Rise in Pre-market; Walmart  Cronos Drop
WMT,Walmart Inc,2018-11-13,Top 5 Things to Know in The Market on Tuesday
WMT,Walmart Inc,2018-11-13,UK discounters enter Christmas period with sales momentum: Kantar Worldpanel
WMT,Walmart Inc,2018-11-15,Stocks - Cisco  JP Morgan  Walmart Gain in Pre-market; JC Penney Crashes
WMT,Walmart Inc,2018-11-15,Walmart Reports Better-than-Expected Third Quarter Profit
WMT,Walmart Inc,2018-11-15,Ready  set  shop: More than a third of Americans to buy on Black Friday: poll
WMT,Walmart Inc,2018-11-15,Stocks - U.S. Futures Rise as China and U.S. Resume Trade Talks 
WMT,Walmart Inc,2018-11-15,Airspace Technologies raises $20 million as investors pile into logistics startups
WMT,Walmart Inc,2018-11-15,Top 5 Things to Know in The Market on Thursday
WMT,Walmart Inc,2018-11-14,Berkshire invests in JPMorgan  Oracle as Buffett puts cash to work
WMT,Walmart Inc,2018-11-14,Walmart's LatAm delivery app Cornershop eyeing Canada and U.S
WMT,Walmart Inc,2018-11-14,Day Ahead: Top 3 Things to Watch
WMT,Walmart Inc,2018-11-14,Instacart wins $271 million in new funding in November: source
WMT,Walmart Inc,2018-11-15,Wall Street climbs on hopes of easing trade tensions
WMT,Walmart Inc,2018-11-15,Stocks - Dow Snaps 4-Day Losing Streak as Trade Optimism Sparks Rebound
WMT,Walmart Inc,2018-11-15,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.83%
WMT,Walmart Inc,2018-11-15,U.S. retail sales rebound  but consumer spending slowing
WMT,Walmart Inc,2018-11-15,Home Depot  Amazon Follow Walmart Down Midday
WMT,Walmart Inc,2018-11-15,Troops sift through California wildfire ruins amid fears death toll will rise
WMT,Walmart Inc,2018-11-15,Strong U.S. economy boosts Walmart's third-quarter sales
WMT,Walmart Inc,2018-11-15,Stocks - Wall Street Falls After Jobless Claims Numbers
WMT,Walmart Inc,2018-11-15,Sterling  euro stocks scuttled as Brexit deal slams the rocks
WMT,Walmart Inc,2018-11-15,Ford CEO open to investors in autonomous vehicles but cautious on VW
WMT,Walmart Inc,2018-11-20,Retail Slammed Again Midday on Weak Quarterly Results
WMT,Walmart Inc,2018-11-20,Walmart Falls 3%
WMT,Walmart Inc,2018-11-19,Kroger and Ocado to build first robotic warehouse in Cincinnati
WMT,Walmart Inc,2018-11-19,China's JD.com feels pressure as sales of big ticket items slow
WMT,Walmart Inc,2018-11-17,California searches for 1 000 missing in its deadliest fire
WMT,Walmart Inc,2018-11-16,Stocks - Dow Fails to Avert Weekly Loss Despite Triple-Digit Rally
WMT,Walmart Inc,2018-11-16,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.49%
WMT,Walmart Inc,2018-11-16,MarketPulse: Retailers Up for Sale as Nordstrom  Williams-Sonoma Plunge
WMT,Walmart Inc,2018-11-16,Take Five: Black Friday shoppers to Brexit wreckage  world markets themes for the week ahead
WMT,Walmart Inc,2018-11-16,India's Flipkart Group fashion unit chief denies he is quitting
WMT,Walmart Inc,2018-11-22,Day Ahead: Top 3 Things to Watch
WMT,Walmart Inc,2018-11-21,Exclusive: Prosecutors weigh competing accounts in JD.com CEO rape allegation
WMT,Walmart Inc,2018-11-21,Holiday wish list: U.S. states count on extra online sales tax to boost budget
WMT,Walmart Inc,2018-11-21,California wildfire evacuees brace for heavy rains
WMT,Walmart Inc,2018-11-21,Take a look inside Walgreens' futuristic store where it's plotting new ways to take on Amazon and CVS
WMT,Walmart Inc,2018-11-20,Mississippi Republican senator apologizes for 'hanging' comment
WMT,Walmart Inc,2018-11-20,Walmart  Target  Best Buy take steps to curb gift card fraud
WMT,Walmart Inc,2018-11-20,Target shares tumble after profit miss  big jump in inventories
WMT,Walmart Inc,2018-11-20,In Mississippi Senate race  a 'hanging' remark spurs Democrats
WMT,Walmart Inc,2018-11-20,Sainsbury's-Asda deal could hurt farmers  says union
WMT,Walmart Inc,2018-11-27,Opening on Thanksgiving hurts retailers more than it helps
WMT,Walmart Inc,2018-11-27,Race  Trump factors in final U.S. Senate race of 2018  in Mississippi
WMT,Walmart Inc,2018-11-26,Day Ahead: Top 3 Things to Watch
WMT,Walmart Inc,2018-11-26,Blockbuster Cyber Monday Is Overshadowed by Economic Outlook
WMT,Walmart Inc,2018-11-26,Top 5 Things to Know in The Market on Monday
WMT,Walmart Inc,2018-11-24,On Black Friday  more U.S. shoppers chose the computer over the mall
WMT,Walmart Inc,2018-11-23,Black Friday deals lure U.S. shoppers  biggest sales gains online
WMT,Walmart Inc,2018-11-23,Stocks - Market Ends Lower as Energy Stocks Sink
WMT,Walmart Inc,2018-11-23,Black Friday online sales trending strong
WMT,Walmart Inc,2018-11-23,Top 5 Things to Know in the Market on Friday
WMT,Walmart Inc,2018-12-07,Licking their wounds  fund managers prep for rally in '19
WMT,Walmart Inc,2018-12-06,Walmart acquires Art.com to boost online home decor business
WMT,Walmart Inc,2018-12-06,Walgreens is teaming up with FedEx to defend its turf from Amazon and CVS
WMT,Walmart Inc,2018-12-04,Walmart Falls 3%
WMT,Walmart Inc,2018-12-04,Tesco questions Sainsbury-Asda deal
WMT,Walmart Inc,2018-12-03,Day Ahead: Top 3 Things to Watch
WMT,Walmart Inc,2018-11-29,MarketPulse: Dollar Tree  Abercrombie Buck Bearish Day for Retailers
WMT,Walmart Inc,2018-11-29,Vestas sees U.S. demand for wind turbines peaking in 2020
WMT,Walmart Inc,2018-11-28,Amazon moving off Oracle databases
WMT,Walmart Inc,2018-11-27,Amazon selling patient data software
WMT,Walmart Inc,2018-12-17,Europe's Retail Apocalypse Spreads to Online From Stores
WMT,Walmart Inc,2018-12-17,UK police evacuate Asda supermarket in southern England
WMT,Walmart Inc,2018-12-13,Costco margin dip overshadows sales beat  shares slide
WMT,Walmart Inc,2018-12-13,New York sues Target  Walmart for sale of lead-contaminated toys
WMT,Walmart Inc,2018-12-13,Instacart to close Whole Foods delivery operation next year
WMT,Walmart Inc,2018-12-13,Deliv signs up 20 new U.S. retailers for same-day delivery
WMT,Walmart Inc,2018-12-13,Amazon Go goes real small in Seattle
WMT,Walmart Inc,2018-12-12,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.64%
WMT,Walmart Inc,2018-12-12,As Modi takes a beating at Indian polls  small parties see big chance
WMT,Walmart Inc,2018-12-08,Amazon-Target intrigue again
WMT,Walmart Inc,2008-11-09,RPT-Wall St Wk Ahead: Stocks eye retail data  Treasury pick
WMT,Walmart Inc,2008-10-29,China vows harsh penalties for melamine eggs scare
WMT,Walmart Inc,2008-10-15,GLOBAL MARKETS-U.S. stocks plunge on recession scare; gold rises
WMT,Walmart Inc,2008-10-15,GLOBAL MARKETS-Global stocks slide  gold rises on recession fear
WMT,Walmart Inc,2009-01-08,WRAPUP 2-US jobless rolls at 26-yr high  retail sales weak
WMT,Walmart Inc,2009-01-08,FOREX-Dollar  yen firm on risk aversion; BoE cuts rates
WMT,Walmart Inc,2008-12-22,Funai to acquire Philips N.America DVD ops - paper
WMT,Walmart Inc,2008-12-17,U.S. retail tracker raises holiday view on Wal-Mart
WMT,Walmart Inc,2008-11-28,UPDATE 5-U.S. shoppers seek deals  buy less on Black Friday
WMT,Walmart Inc,2008-11-20,UPDATE 3-Ahold Q3 core profit up as turnaround continues
WMT,Walmart Inc,2008-11-20,CORRECTED-UPDATE 1-Ahold Q3 core profit rose 11 pct
