code,date,text,value
GOOGL,20181210,google ceo defends integrity of product ahead of testimony,1
GOOGL,20181210,google shutdown speed up new privacy bug affected million user,0
GOOGL,20181210,google shutdown speed up new privacy bug affected mln user,0
GOOGL,20181210,deep loss leave big tech with small earnings multiple,0
GOOGL,20181210,graphic deep loss leave big tech with small earnings multiple,0
GOOGL,20181210,australian watchdog want a regulator for dominant google facebook,0
GOOGL,20181210,update australian watchdog want a regulator for dominant google facebook,0
GOOGL,20181205,waymo unveils self driving taxi service in arizona for paying customer,1
GOOGL,20181204,alphabet s wing drone delivery business to take flight in finland,1
GOOGL,20181202,google ceo hearing in u s house likely to be postponed goodlatte,1
GOOGL,20181130,doe google harm local search rival eu antitrust regulator ask,1
GOOGL,20181129,indonesia s go jek start trial launch in singapore challenge grab,0
GOOGL,20181128,u s house panel set google ceo hearing for december,1
GOOGL,20181128,amazon launch machine learning chip taking on nvidia intel,0
GOOGL,20181127,youtube shift to make new exclusive show movie free to user,1
GOOGL,20181127,google employee push to stop project dragonfly,0
GOOGL,20181127,rpt focus fearful of bias google block gender based pronoun from new ai tool,0
GOOGL,20181127,fearful of bias google block gender based pronoun from new ai tool,0
GOOGL,20181127,focus fearful of bias google block gender based pronoun from new ai tool,0
GOOGL,20181126,update logitech end negotiation to acquire plantronics,0
GOOGL,20181123,exclusive a network explores potential sale source,0
GOOGL,20181123,exclusive a network explores potential sale source,0
GOOGL,20181119,google temasek study see bln southeast asia internet economy by,0
GOOGL,20181116,alphabet unit halt glucose detecting contact lens project,1
GOOGL,20181116,alphabet s verily pause project on glucose sensing lens,0
GOOGL,20181116,brief alphabet s verily ending smart contact lens program to measure glucose level for diabetic,0
GOOGL,20181115,update cisco beat a network gear demand rise new bet pay off,0
GOOGL,20181108,google hears protester change sexual harassment policy,1
GOOGL,20181108,google plan to expand office space in new york city wsj,0
GOOGL,20181108,google plan to expand office space in new york city wsj,0
GOOGL,20181107,trump would consider regulating social medium but urge caution,1
GOOGL,20181107,eu s vestager say probe into google adsense case nearing end,0
GOOGL,20181107,intel drafted u s data privacy bill would protect firm from fine,0
GOOGL,20181106,update judge named to hear government s appeal of at t time warner deal approval,0
GOOGL,20181105,rpt focus vying for vuitton china s e commerce rival seek luxury stranglehold,0
GOOGL,20181102,google s top u s public policy official leaving post,1
GOOGL,20181102,apple loses trillion status after soft holiday forecast,0
GOOGL,20181030,waymo get california ok to test driverless vehicle without backup driver,1
GOOGL,20181026,weak amazon alphabet result ignite growth worry,1
GOOGL,20181026,u stock wall st fall after earnings disappointment but off day s low,0
GOOGL,20181026,u stock wall st off session low a alphabet pares loss,0
GOOGL,20181026,u stock wall street resume selloff s p flirt with correction,0
GOOGL,20181026,u stock wall st sink a amazon alphabet earnings spark growth concern,0
GOOGL,20181026,u stock future cut loss a healthy gdp growth dulls pain of corporate slowdown,0
GOOGL,20181026,u stock future sink a amazon alphabet spark fresh selloff ahead of gdp data,0
GOOGL,20181026,global market asia stumble again despite wall st bounce amid growth earnings fear,0
GOOGL,20181026,global market asian share struggle to shake off rout despite wall st bounce,0
GOOGL,20181025,alphabet miss wall street revenue estimate share fall,1
GOOGL,20181025,update amazon s holiday season sale outlook miss view share sink,0
GOOGL,20181025,alphabet s rd qtr profit beat estimate,0
GOOGL,20181024,google facebook executive meet with uk government over no deal brexit telegraph,1
GOOGL,20181024,update google facebook exec meet with uk govt over no deal brexit telegraph,0
GOOGL,20181024,u s tech fund turn to visa paypal a fang fade,0
GOOGL,20181024,u s tech fund turn to visa paypal a fang fade,0
GOOGL,20181024,senator question google s tardy disclosure of user data exposure,0
GOOGL,20181024,update u s senator question google s tardy disclosure of user data exposure,0
GOOGL,20181024,two democrat say google data exposure may violate ftc consent decree,0
GOOGL,20181024,press digest new york time business news oct,0
GOOGL,20181023,corrected web performance software company cloudflare ready ipo source,0
GOOGL,20181022,aptoide win court battle against google in landmark case,1
GOOGL,20181022,portugal s aptoide say win first court ruling against google,0
GOOGL,20181019,wall st week ahead with market on edge investor look to tech trio,0
GOOGL,20181018,jd com spy profit in china s giant parcel delivery market,0
GOOGL,20181016,google to charge smartphone maker for google play in europe,1
GOOGL,20181016,google latest to withdraw from saudi conference,0
GOOGL,20181016,update google latest to withdraw from saudi conference,0
GOOGL,20181012,google tell u s lawmaker it is mulling option on china service,1
GOOGL,20181009,alphabet to shut google social site after user data exposed,1
GOOGL,20181009,update google unveils new pixel phone add tablet in apple challenge,0
GOOGL,20181009,microsoft expands cloud service in push for billion pentagon contract,0
GOOGL,20181009,irish data regulator seek information from google on security bug,0
GOOGL,20181009,microsoft expands cloud service in push for bln pentagon contract,0
GOOGL,20181008,google drop out of bidding for billion pentagon data deal,1
GOOGL,20181008,google drop out of bidding for bln pentagon data deal,0
GOOGL,20181008,google exposed user data feared repercussion of disclosing to public wsj,0
GOOGL,20181008,mass action against google over iphone data blocked by london court,0
GOOGL,20180925,google to allow certain cryptocurrency ad in u s japan,1
GOOGL,20180925,update u s justice dept meeting with state official focus on data privacy,0
GOOGL,20180924,tech index refresh could give under the radar name their day in the sun,1
GOOGL,20180924,update u s justice dept to discus consumer protection at social medium meeting,0
GOOGL,20180921,update u s justice department may delay meeting on possible social medium bias source,0
GOOGL,20180913,u s lawmaker ask google if it will rejoin chinese market,1
GOOGL,20180913,update california to attend u s justice department meeting on social medium,0
GOOGL,20180912,amazon apple others to testify before u s senate on data privacy september,0
GOOGL,20180912,update amazon apple others to testify before u s senate on data privacy sept,0
GOOGL,20180912,tech medium share find new home in sector overhaul,0
GOOGL,20180912,graphic tech medium share find new home in sector overhaul,0
GOOGL,20180912,rpt a trump embrace more tariff u s business ready public fight,0
GOOGL,20180912,a trump embrace more tariff u s business ready public fight,0
GOOGL,20180903,focus in india google race to parry the rise of facebook,1
GOOGL,20180831,republican senator asks ftc to examine google ad,1
GOOGL,20180829,u stock amazon alphabet lead wall street rally,0
GOOGL,20180829,u stock amazon alphabet lift s p and nasdaq to new record high,0
GOOGL,20180829,morning news call india august,0
GOOGL,20180824,waymo set up subsidiary in shanghai a google plan china push,1
GOOGL,20180816,china s jd com look to warehousing asset to help revive profit,0
GOOGL,20180816,corrected update china s jd com look to warehousing asset to help revive profit,0
GOOGL,20180816,kroger begin test of driverless grocery delivery in arizona,0
GOOGL,20180814,alphabet to invest million in health insurer oscar health,1
GOOGL,20180803,race is on for second place after apple s trillion valuation,1
GOOGL,20180803,google in talk with tencent others for cloud service in china bbg,0
GOOGL,20180803,apple breach trillion stock market valuation,0
GOOGL,20180803,update apple breach trillion stock market valuation,0
GOOGL,20180730,insight walmart stumble with it last mile package delivery plan,0
GOOGL,20180730,rpt insight walmart discovers why the last mile is the hardest,0
GOOGL,20180730,insight walmart discovers why the last mile is the hardest,0
GOOGL,20180724,s p reach highest level since february a alphabet share soar,1
GOOGL,20180724,u stock s p reach highest level since feb a alphabet share soar,0
GOOGL,20180724,u stock s p dow rise a alphabet result boost earnings optimism,0
GOOGL,20180724,global market china stimulus hope lift world share to month high,0
GOOGL,20180724,alphabet trounces profit estimate a google rein in cost,0
GOOGL,20180724,global market china share hit mth high on stimulus hope bond tire,0
GOOGL,20180724,morning news call india july,0
GOOGL,20180724,global market bond fear fading stimulus china share at month top,0
GOOGL,20180724,update alphabet trounces profit estimate a google rein in cost,0
GOOGL,20180724,global market bond unsettled by tightening talk u growth outlook,0
GOOGL,20180723,refile alphabet trounces profit estimate on ad sale surge,1
GOOGL,20180718,u s tech enforcer say will read closely eu statement on google,1
GOOGL,20180718,google s antitrust case in europe,0
GOOGL,20180718,eu expected to fine google bln over android bloomberg,0
GOOGL,20180718,google launch game on tencent s wechat a it eye china market,0
GOOGL,20180718,google launch game on tencent s wechat a it eye china market,0
GOOGL,20180717,alphabet s gv lead million investment in site rental firm peerspace,1
GOOGL,20180716,moment of truth for google a record eu antitrust fine loom,1
GOOGL,20180716,fang surge lead stock market recovery putting netflix in spotlight,0
GOOGL,20180716,fang surge lead stock market recovery putting netflix in spotlight,0
GOOGL,20180711,alphabet to make loon wing project independent company,1
GOOGL,20180710,google lean more on algorithm for ad a critic highlight risk,0
GOOGL,20180709,uber alphabet invest in bike sharing service lime,1
GOOGL,20180709,house republican query apple alphabet on privacy data practice,0
GOOGL,20180709,update u s house republican query apple alphabet on privacy data practice,0
GOOGL,20180709,house republican demand answer from apple alphabet on privacy data practice,0
GOOGL,20180704,chile s pinera to meet ceo of amazon alphabet next week,1
GOOGL,20180628,california lawmaker approve data privacy bill opposed by silicon valley,1
GOOGL,20180626,audi partner with israel s autonomous vehicle simulation startup cognata,0
GOOGL,20180621,youtube push membership merchandise a alternative to ad,0
GOOGL,20180620,what trade war faangs scale new high,0
GOOGL,20180620,what trade war faangs scale new high,0
GOOGL,20180612,chinese trucker demonstrate over high fuel cost truck hailing app manbang,1
GOOGL,20180607,google bar us of it artificial intelligence tech in weapon,1
