code,name,date,headline,article
GOOGL,Alphabet Inc,20181210,Google CEO defends 'integrity' of products ahead of testimony ,WASHINGTON The chief executive officer of Alphabet Inc's  Google on Monday defended the integrity of the company's products a day ahead of a congressional hearing where he is expected to face tough questions from U.S. lawmakers.
GOOGL,Alphabet Inc,20181205,Waymo unveils self-driving taxi service in Arizona for paying customers ,CHANDLER  Ariz. Alphabet's  Waymo on Wednesday launched a significant development in its costly  decade-long quest for autonomous transportation: self-driving taxis that actually generate fares. | Video 
GOOGL,Alphabet Inc,20181204,Alphabet's Wing drone delivery business to take flight in Finland ,Google parent Alphabet Inc's drone delivery business Wing will launch its first European delivery service in Finland in the spring of 2019  it said in a statement on Tuesday.
GOOGL,Alphabet Inc,20181202,Google CEO hearing in U.S. House likely to be postponed: Goodlatte ,WASHINGTON The U.S. House Judiciary Committee will likely put off until next week a hearing with Google Chief Executive Sundar Pichai on the Alphabet Inc  unit’s social media practices because of the state funeral of former President George H.W. Bush  Chairman Bob Goodlatte said on Sunday.
GOOGL,Alphabet Inc,20181130,Does Google harm local search rivals? EU antitrust regulators ask ,BRUSSELS EU antitrust regulators have asked Google's rivals if the internet search giant unfairly demotes local search competitors  according to a questionnaire seen by Reuters  a move which could lead to a fourth case against the Alphabet  unit.
GOOGL,Alphabet Inc,20181128,U.S. House panel sets Google CEO hearing for December 5 ,WASHINGTON The U.S. House Judiciary Committee will hold a hearing with Google Chief Executive Sundar Pichai on the Alphabet Inc unit's social media practices on Dec. 5  the committee said on Wednesday.
GOOGL,Alphabet Inc,20181127,YouTube shifts to make new exclusive shows  movies free to users ,SAN FRANCISCO  Nov 27 YouTube plans to make all of its future original programming available to users for free with advertising  as the video streaming unit of Alphabet Inc's Google seeks a bigger audience for shows and movies that had mostly been restricted to its paid subscribers.
GOOGL,Alphabet Inc,20181116,Alphabet unit halts glucose-detecting contact lens project ,Alphabet Inc's life sciences division Verily said on Friday that it was putting on hold one of its oldest and highest-profile projects  a smart contact lens designed to help monitor sugar levels.
GOOGL,Alphabet Inc,20181108,Google hears protesters  changes sexual harassment policies ,Nov 8 Alphabet Inc's Google said on Thursday it would make changes to how it handles sexual harassment claims  a week after thousands of its employees around the world walked off their jobs to protest its response to such issues.
GOOGL,Alphabet Inc,20181107,Trump would consider regulating social media but urges caution ,WASHINGTON U.S. President Donald Trump said he would consider working with Democrats to regulate social media companies  after he and other conservatives accused companies such as Twitter Inc  Facebook Inc and Alphabet Inc's Google of allegedly stifling right wing views.
GOOGL,Alphabet Inc,20181102,Google's top U.S. public policy official leaving post ,WASHINGTON  Nov 2 Alphabet Inc's Google unit said on Friday that its Washington office chief  who also heads Americas policy  is stepping down as the company faces criticism on issues including how it protects users' privacy and its investment plans in China.
GOOGL,Alphabet Inc,20181030,Waymo gets California OK to test driverless vehicles without backup driver ,WASHINGTON  Oct 30 Alphabet Inc's Waymo unit on Tuesday became the first company to receive a permit from the state of California to test driverless vehicles without a backup driver in the front seat  the state's Department of Motor Vehicles said.
GOOGL,Alphabet Inc,20181025,Alphabet misses Wall Street revenue estimates; shares fall ,Google parent Alphabet Inc  on Thursday missed analysts' quarterly revenue estimates for the first time in at least two years and reported continuing erosion of its operating margin  sending shares down almost 7 percent after hours. | Video 
GOOGL,Alphabet Inc,20181022,Aptoide wins court battle against Google in landmark case ,LISBON Portuguese app store Aptoide said on Monday that a local court had ruled against Alphabet Inc's Google  in a landmark case  ordering the U.S. giant to stop removing its app from users' mobile phones without their knowledge.
GOOGL,Alphabet Inc,20181020,Google to charge Android partners up to $40 per device for apps: source , (This Oct. 19 story has been refiled to fix wording in fourth paragraph)
GOOGL,Alphabet Inc,20181019,Google to charge Android partners up to $40 per device for apps - source ,BRUSSELS/SAN FRANCISCO  Oct 19 Alphabet Inc's Google will charge hardware firms up to $40 per device to use its apps under a new licensing system to replace one that the European Union this year deemed anti-competitive  a person familiar with the matter said on Friday.
GOOGL,Alphabet Inc,20181016,Google to charge smartphone makers for Google Play in Europe ,BRUSSELS  Oct 16 U.S. tech giant Google will charge smartphone makers a licensing fee for using its popular Google Play app store and also allow them to use rival versions of its Android mobile operating system to comply with an EU antitrust order.
GOOGL,Alphabet Inc,20181012,Google tells U.S. lawmakers it is mulling options on China services ,"WASHINGTON Alphabet Inc's  Google unit has told U.S. lawmakers it was considering ""a variety of options"" to offer additional services in China  but declined to detail plans for addressing Chinese censorship."
GOOGL,Alphabet Inc,20181009,Alphabet to shut Google+ social site after user data exposed ," (This version of the October 8 story corrects to ""consulting and accounting firm"" from ""legal firm"" in paragraph 8) | Video "
GOOGL,Alphabet Inc,20181008,Google drops out of bidding for $10 billion Pentagon data deal ,SAN FRANCISCO Alphabet Inc's Google said on Monday it was no longer vying for a $10 billion cloud computing contract with the U.S. Defense Department  in part because the company's new ethical guidelines do not align with the project  without elaborating.
GOOGL,Alphabet Inc,20180925,Google to allow certain cryptocurrency ads in U.S.  Japan ,Alphabet Inc's  Google said on Tuesday it would allow certain regulated cryptocurrency exchanges to advertise in the United States and Japan  easing an earlier ban on all cryptocurrency ads.
