company,date,time
Apple Inc (AAPL),2019-03-14,Apple making concessions for streaming partners - Bloomberg
Apple Inc (AAPL),2019-03-14,Spotify accuses Apple of breaching EU antitrust rules
Apple Inc (AAPL),2019-03-14,Smartphone shipments to China hit six-year low in February: market data
Apple Inc (AAPL),2019-03-14,The Wall Street Journal: Spotify files EU antitrust complaint over Apple’s App store
Apple Inc (AAPL),2019-03-14,Apple's stock adds 0.3% before the opening bell 
Apple Inc (AAPL),2019-03-13,Details on Apple News' magazine service?
Apple Inc (AAPL),2019-03-13,Chinese smartphone sales keep on falling — that's likely bad news for Apple
Apple Inc (AAPL),2019-03-12,Apple's upcoming magazine service will work even when you're offline  code suggests
Apple Inc (AAPL),2019-03-12,Stocks - S&P 500 Ends Higher as Tech Tees up Gains
Apple Inc (AAPL),2019-03-12,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.38%
Apple Inc (AAPL),2019-03-14,What Spotify said about Apple (video)
Apple Inc (AAPL),2019-03-14,Spotify's App Store complaint carries 'meaningful risk' for Apple  KeyBanc says
Apple Inc (AAPL),2019-03-14,Spotify Brings Antitrust Claim Against Apple
Apple Inc (AAPL),2019-03-14,Spotify's Apple complaint has real merit  KeyBanc says
Apple Inc (AAPL),2019-03-14,Apple Working to Woo Hollywood Gatekeepers to New TV Streaming Service Before Big Reveal
Apple Inc (AAPL),2019-03-14,Spotify Accuses Apple of Anticompetitive Practices in Europe
Apple Inc (AAPL),2019-03-14,Apple’s Long-Rumored Magazine App Might Work Offline
Apple Inc (AAPL),2019-03-14,Spotify hits Apple with antitrust complaint
Apple Inc (AAPL),2019-03-14,Spotify Says Apple Has an ‘Unfair Advantage’ in New EU Complaint
Apple Inc (AAPL),2019-03-14,The case for a $300 Apple bundle
Apple Inc (AAPL),2019-03-12,Wedbush: Apple's Video-Streaming Service Could Get 100 Million Subscribers
Apple Inc (AAPL),2019-03-12,Apple's streaming service is 'a game changer ' to add 100 million users in 3 years  Wedbush says
Apple Inc (AAPL),2019-03-12,Wedbush’s Apple Predictions for March 25
Apple Inc (AAPL),2019-03-12,U.S. sees unilateral taxes on web giants as 'discriminatory': Treasury official
Apple Inc (AAPL),2019-03-12,Bank of America lays out the bull and bear cases for Apple  a day after upgrading the stock
Apple Inc (AAPL),2019-03-12,Stocks - S&P and Nasdaq Rise on Inflation Numbers  Boeing Drags on Dow
Apple Inc (AAPL),2019-03-12,Apple's Next iPad Might Not Get a Makeover After All
Apple Inc (AAPL),2019-03-12,Foxconn rejects Microsoft patent lawsuit  says never had to pay royalties
Apple Inc (AAPL),2019-03-12,Stocks For You To Swing-Trade: AAPL  CAG  COP
Apple Inc (AAPL),2019-03-12,Top Analyst Upgrades and Downgrades: AEP  Apple  Boeing  Coca-Cola  Eli Lilly  RingCentral  Tellurian  Tesla  Vonage and More
Apple Inc (AAPL),2019-03-07,Longtime Apple critic gives credit where credit is due
Apple Inc (AAPL),2019-03-07,Stocks - Wall Street Falls as ECB Cuts Forecasts  Pushes Back Rate Hike
Apple Inc (AAPL),2019-03-07,The El Paso Independent School District Chooses Apple and Jamf to Create Equity with Technology Through its PowerUp Program
Apple Inc (AAPL),2019-03-07,Apple fell from grace last year; now it’s Facebook’s turn
Apple Inc (AAPL),2019-03-07,Fitbit Wants to Crush Apple on Price
Apple Inc (AAPL),2019-03-07,EU investigates Luxembourg's tax treatment of packaging firm Huhtamaki
Apple Inc (AAPL),2019-03-07,Huawei’s Efforts to Derail U.S. Prosecutions Face Steep Odds
Apple Inc (AAPL),2019-03-06,CEOs tell Trump they are hiring more Americans without college degrees
Apple Inc (AAPL),2019-03-06,President Trump Calls Tim Cook ‘Tim Apple’ at His First American Workforce Policy Advisory Meeting
Apple Inc (AAPL),2019-03-06,President Trump calls Apple CEO 'Tim Apple' instead of Tim Cook
Apple Inc (AAPL),2019-03-11,StockBeat: Facebook  Apple Rise on Wall Street Upgrades  Lifting FAANG
Apple Inc (AAPL),2019-03-11,Apple announces event for March 25 where streaming TV and subscription news services are expected
Apple Inc (AAPL),2019-03-11,Apple and Facebook Are About to Compete Like Never Before
Apple Inc (AAPL),2019-03-11,Trump Says He Called Apple CEO ‘Tim Apple’ to Save Time
Apple Inc (AAPL),2019-03-11,Stocks making the biggest moves midday: Boeing  Apple  Facebook  Nvidia  Care.com & more
Apple Inc (AAPL),2019-03-11,Trump says he called Apple's CEO 'Tim Apple' to save time  reportedly told donors he never said it
Apple Inc (AAPL),2019-03-11,Crypto Inches Down; Invesco Launches Blockchain ETF
Apple Inc (AAPL),2019-03-11,Stocks - Boeing Weighs on Dow As Sales Data Lift S&P  Nasdaq 
Apple Inc (AAPL),2019-03-11,10 Reasons Merrill Lynch Is Now Bullish on Apple
Apple Inc (AAPL),2019-03-11,Elizabeth Warren revealed her plan to break up Apple if she becomes president
Apple Inc (AAPL),2019-03-11,Top Analyst Upgrades and Downgrades: Apple  China Mobile  Duke Energy  Facebook  JetBlue  Oracle  Spirit Air  TCR2  Vivint Solar and More
Apple Inc (AAPL),2019-03-11,Stocks - Boeing Plummets in Premarket  Apple  Tesla Gain  Mellanox Surges
Apple Inc (AAPL),2019-03-11,Apple pops pre-market after Merrill Lynch issues Buy
Apple Inc (AAPL),2019-03-11,Wall Street hasn't been this bearish on Apple in 15 years
Apple Inc (AAPL),2019-03-11,Stocks making the biggest moves premarket: Boeing  Apple  Nvidia  Facebook & more
Apple Inc (AAPL),2019-03-11,Apple +1.7% as BofA sees 'opportunity'
Apple Inc (AAPL),2019-03-11,Stocks - Dow Futures Slump After Deadly Boeing Crash in Ethiopia
Apple Inc (AAPL),2019-03-11,Bank of America upgrades Apple to buy  says 'pullback presents opportunity'
Apple Inc (AAPL),2019-03-10,Key Words: Elizabeth Warren wants to break up Apple  too
Apple Inc (AAPL),2019-03-09,Are You an Amazon or an Apple Family?
Apple Inc (AAPL),2019-03-11,Satellites and shoe-leather: How investors get beyond China's dubious data
Apple Inc (AAPL),2019-03-11,Apple Helps Stocks Unexpectedly Surge Higher On March 11
Apple Inc (AAPL),2019-03-11,Apple says 'it's show time' March 25  TV service announcement expected
Apple Inc (AAPL),2019-03-11,Roku’s Stock Up 4% on Report It May Finally Receive Support for Apple’s Airplay 2 Streaming Tech
Apple Inc (AAPL),2019-03-11,Apple’s March 25 Event Will Flex a New Focus on Services
Apple Inc (AAPL),2019-03-11,Apple’s ‘Show Time’ Invite Teases a Possible Video Streaming Service Announcement for March 25
Apple Inc (AAPL),2019-03-11,Stocks - Dow Reverses Early Losses to End Higher as Tech Rallies
Apple Inc (AAPL),2019-03-11,Wall Street snaps five-day losing streak despite Boeing's drop
Apple Inc (AAPL),2019-03-11,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.79%
Apple Inc (AAPL),2019-03-11,Apple officially announces March 25 event
Apple Inc (AAPL),2019-03-08,How to make Apple hardware rumors look real (video)
Apple Inc (AAPL),2019-03-08,After the HomePod Flop  Will Apple Finally Make the Smart Home a Priority?
Apple Inc (AAPL),2019-03-08,Apple’s Augmented Reality Headset Could Go Into Production This Year
Apple Inc (AAPL),2019-03-08,   Stocks - U.S. Futures Fall as Trade Summit Delayed
Apple Inc (AAPL),2019-03-07,Apple Setting Up Shop Close to Qualcomm
Apple Inc (AAPL),2019-03-07,Spotify  Google  Pandora  Amazon Fight Increase in Songwriter Royalties. Apple Says No to Appeal
Apple Inc (AAPL),2019-03-07,Variety: Music streamers (without Apple) appeal songwriter royalty hike
Apple Inc (AAPL),2019-03-07,Tim Cook Just Changed His Twitter Name to Tim Apple
Apple Inc (AAPL),2019-03-07,Tim Cook acknowledged Trump's flub and changed his last name to an apple emoji on Twitter
Apple Inc (AAPL),2019-03-07,Wall Street slips for fourth day after dovish ECB stance
Apple Inc (AAPL),2019-03-06,Chinese online retailers slash iPhone prices for second time this year
Apple Inc (AAPL),2019-03-05,Body language: The Russian science keeping North Korea's dead leaders looking fresh
Apple Inc (AAPL),2019-03-05,Will Apple Make a Folding iPhone? Corning’s Upcoming Bendable Glass Is an Early Clue
Apple Inc (AAPL),2019-03-05,Clever Tool Uses Apple’s Video Game Logic Engine to Protect Macs
Apple Inc (AAPL),2019-03-05,IDC: Apple Shipped 16.2 Million Wearables in Q4
