company,date,time
Alphabet Inc Class C (GOOG),2019-03-12,Crypto Market Recovers as SEC Launches Meetups with Sector
Alphabet Inc Class C (GOOG),2019-03-12,EU ditches digital tax plan  to work for global reform
Alphabet Inc Class C (GOOG),2019-03-12,Software firm Cloudflare raises $150 million
Alphabet Inc Class C (GOOG),2019-03-12,News Corp's Australian arm calls for Google breakup
Alphabet Inc Class C (GOOG),2019-03-11,Google Cloud hires another Oracle veteran for top role
Alphabet Inc Class C (GOOG),2019-03-11,Alphabet's Waymo seeks outside investors: The Information
Alphabet Inc Class C (GOOG),2019-03-11,StockBeat: Facebook  Apple Rise on Wall Street Upgrades  Lifting FAANG
Alphabet Inc Class C (GOOG),2019-03-11,Privacy lawyers for Google  Intel to appear at senate judiciary hearing on Tuesday: committee statement
Alphabet Inc Class C (GOOG),2019-03-11,To lure young talent  banks mimic tech workspaces
Alphabet Inc Class C (GOOG),2019-03-09,Global celebrities gather for the wedding of India's richest man's son
Alphabet Inc Class C (GOOG),2019-03-08,Wall Street critic Warren vows to break up Amazon  Facebook  Google
Alphabet Inc Class C (GOOG),2019-03-08,As polio goal nears  Pakistan pushes against vaccine misinformation
Alphabet Inc Class C (GOOG),2019-03-08,Facebook takes down UK fake accounts; to tackle anti-vaccine info
Alphabet Inc Class C (GOOG),2019-03-07,Xerox restructures business to create holding company
Alphabet Inc Class C (GOOG),2019-03-07,Huawei’s Efforts to Derail U.S. Prosecutions Face Steep Odds
Alphabet Inc Class C (GOOG),2019-03-06,U.S. Democrats unveil legislation to reinstate net neutrality rules
Alphabet Inc Class C (GOOG),2019-03-06,Egyptian activists and media targeted by phishing attacks: Amnesty
Alphabet Inc Class C (GOOG),2019-03-06,EU states set to scrap digital tax plan  to work for global reform
Alphabet Inc Class C (GOOG),2019-03-06,Facebook rejects Australian regulator's push for scrutiny of news feeds
Alphabet Inc Class C (GOOG),2019-03-06,Exclusive: Grab eyes more funding after record $4.5 billion round in Southeast Asia
Alphabet Inc Class C (GOOG),2019-03-14,SoftBank  Toyota in talks to invest $1 billion in Uber's self-driving unit: sources
Alphabet Inc Class C (GOOG),2019-03-14,Stocks - S&P Closes Higher as Energy Stocks Rally; Boeing Snaps Losing Streak
Alphabet Inc Class C (GOOG),2019-03-13,In Indonesia  Facebook and Twitter are 'buzzer' battlegrounds as elections loom
Alphabet Inc Class C (GOOG),2019-03-12,UK needs to meet Facebook  Google competition with new rules: report
Alphabet Inc Class C (GOOG),2019-03-12,DoubleLine's Jeffrey Gundlach calls Modern Monetary Theory a 'crackpot' idea
Alphabet Inc Class C (GOOG),2019-03-12,OECD seeing less corporate opposition to digital era tax revamp
Alphabet Inc Class C (GOOG),2019-03-12,Bermuda's premier confident of removal from EU tax haven blacklist
Alphabet Inc Class C (GOOG),2019-03-12,Key senator says federal privacy bill should be as strong as California's
Alphabet Inc Class C (GOOG),2019-03-12,Ford chairman praises CEO  mulls lithium venture
Alphabet Inc Class C (GOOG),2019-03-12,U.S. sees unilateral taxes on web giants as 'discriminatory': Treasury official
Alphabet Inc Class C (GOOG),2019-02-27,Rakuten's all-cloud mobile network goes down a storm in Barcelona
Alphabet Inc Class C (GOOG),2019-02-27,Spotify steps into crowded Indian market
Alphabet Inc Class C (GOOG),2019-02-27,Norway wealth fund shrugs off Brexit  plans rise in UK investments
Alphabet Inc Class C (GOOG),2019-02-27,Go-Jek begins services in Thailand  says Philippine launch to be 'pretty fast': CEO
Alphabet Inc Class C (GOOG),2019-02-26,Ex-Cylance  Carbon Black executives' startup raises $20 million in second funding round
Alphabet Inc Class C (GOOG),2019-02-26,U.S. Justice Department will not appeal AT&T  Time Warner merger after court loss
Alphabet Inc Class C (GOOG),2019-02-26,U.S. consumer regulator forms task force to monitor big tech
Alphabet Inc Class C (GOOG),2019-02-26,Walmart seeks ad business boost in fight with Amazon
Alphabet Inc Class C (GOOG),2019-02-26,ECB determined to push forward its payment system: Mersch
Alphabet Inc Class C (GOOG),2019-02-26,EU weighs new rules on payments in challenge to Visa  Mastercard
Alphabet Inc Class C (GOOG),2019-03-05,Stocks - S&P Ends Lower as Slump in GE Offsets Gains in Retailers
Alphabet Inc Class C (GOOG),2019-03-05,Moody’s Scolds New York City on Amazon  Then Gives It a Pat
Alphabet Inc Class C (GOOG),2019-03-05,Chinese e-commerce company JD.Com launches store on Google shopping site
Alphabet Inc Class C (GOOG),2019-03-04,Google plans to ban political ads before Canada election
Alphabet Inc Class C (GOOG),2019-03-04,Spotify adds 1 million unique listeners in India in less than a week
Alphabet Inc Class C (GOOG),2019-03-04,Stocks Moving After Hours: Salesforce.com  Google  Arcosa  Floor and Decor
Alphabet Inc Class C (GOOG),2019-03-04,Democrats to push to reinstate repealed 'net neutrality' rules
Alphabet Inc Class C (GOOG),2019-03-04,Google rejects Australian regulator's call for scrutiny  denies market power
Alphabet Inc Class C (GOOG),2019-03-03,Electric scooter sharing firm VOI raises $30 million for European expansion
Alphabet Inc Class C (GOOG),2019-03-03,French tax on internet giants could yield 500 million euros per year: Le Maire
Alphabet Inc Class C (GOOG),2019-02-25,HERE expands mapping services to China with Navinfo partnership
Alphabet Inc Class C (GOOG),2019-02-24,From Mentor to Activist: Facebook Through the Eyes of Roger McNamee 
Alphabet Inc Class C (GOOG),2019-02-23,India proposes new e-commerce regulations with focus on data rules
Alphabet Inc Class C (GOOG),2019-02-23,Microsoft workers demand it drop $480 million U.S. Army contract
Alphabet Inc Class C (GOOG),2019-02-22,Trump administration denying  delaying more foreign skilled-worker requests
Alphabet Inc Class C (GOOG),2019-02-22,AT&T pulls ads from YouTube over videos exploiting children
Alphabet Inc Class C (GOOG),2019-02-22,Indian lawmakers summon Facebook officials over citizens' rights protection
Alphabet Inc Class C (GOOG),2019-02-21,Google is ditching its mandatory arbitration policy after mass protest (GOOG  GOOGL)
Alphabet Inc Class C (GOOG),2019-02-21,Dropbox expects drop in first-quarter operating margin  shares fall
Alphabet Inc Class C (GOOG),2019-02-21,EU countries back copyright reforms aimed at Google  Facebook
Alphabet Inc Class C (GOOG),2019-02-21,Google fails to disclose microphone in Nest Secure
Alphabet Inc Class C (GOOG),2019-02-21,Blown away by innovation or price? Samsung's foldable phone opens new frontier
Alphabet Inc Class C (GOOG),2019-02-21,Google's new cloud boss has big task to catch rivals  Reuters data show
Alphabet Inc Class C (GOOG),2019-02-20,India will not be cowed in internet consultations: tech minister
Alphabet Inc Class C (GOOG),2019-02-19,Google says the built-in microphone it never told Nest users about was 'never supposed to be a secret' (GOOG  GOOGL)
Alphabet Inc Class C (GOOG),2019-02-19,Stocks - Dow Ekes out Gain as Trump Touts Progress on Trade  Walmart Gains
Alphabet Inc Class C (GOOG),2019-02-19,Can IBM Shares Continue Their Roll?
Alphabet Inc Class C (GOOG),2019-02-19,EU's Vestager says not precluding Facebook case in future
Alphabet Inc Class C (GOOG),2019-02-19,Google to buy data migration company Alooma in cloud push
Alphabet Inc Class C (GOOG),2019-02-19,Amazon's China unit in merger talks with NetEase's Kaola: report
Alphabet Inc Class C (GOOG),2019-02-19,China's JD.com to lay off 10 percent of senior executives this year: report
Alphabet Inc Class C (GOOG),2019-02-18,UBS's $6 Billion Gamble in France Tax Case: Deal or No Deal?
Alphabet Inc Class C (GOOG),2019-02-18,Facebook broke rules  should be regulated: UK lawmakers
Alphabet Inc Class C (GOOG),2019-02-17,New Zealand to target online giants with digital tax
Alphabet Inc Class C (GOOG),2019-02-15,Amazon invites Ocasio-Cortez for tour  calls worker claims untrue
Alphabet Inc Class C (GOOG),2019-02-15,Wall Street rallies on trade optimism
Alphabet Inc Class C (GOOG),2019-02-15,Alphabet unit seeks share of property taxes for Toronto smart city
Alphabet Inc Class C (GOOG),2019-02-15,Apple's AV test run suggests it should shutter its self-driving efforts (AAPL  GOOG  GOOGL)
Alphabet Inc Class C (GOOG),2019-02-15,Russian search engine Yandex expects 2019 revenue to rise up to 32 percent
Alphabet Inc Class C (GOOG),2019-02-15,Germany looks into tax move on foreign internet firms: report
Alphabet Inc Class C (GOOG),2019-02-14,Big hedge funds dumped China stocks  Apple as market tumbled
Alphabet Inc Class C (GOOG),2019-02-14,U.S. negotiating multibillion-dollar fine with Facebook: report
Alphabet Inc Class C (GOOG),2019-02-14,Feeling unwelcome  Amazon ditches plans for New York hub
Alphabet Inc Class C (GOOG),2019-02-14,Stocks - Wall Street Ends Mixed as Techs Show Strength
Alphabet Inc Class C (GOOG),2019-02-14,Google  Amazon among those targeted in EU unfair practices digital rules
Alphabet Inc Class C (GOOG),2019-02-14,Amazon faces probe into treatment of sellers in Austria
Alphabet Inc Class C (GOOG),2019-02-13,Software pirates use Apple tech to put hacked apps on iPhones
Alphabet Inc Class C (GOOG),2019-02-13,EU clinches copyright overhaul deal  tech giants in focus
Alphabet Inc Class C (GOOG),2019-02-13,Newer businesses drive Cisco's earnings beat; shares rise
Alphabet Inc Class C (GOOG),2019-02-13,Stocks - Dow Racks up Triple-Digit Gains as Trade Hopes Trigger Rally
Alphabet Inc Class C (GOOG),2019-02-13,Exclusive: Volkswagen  Ford far apart on investment in Ford autonomous unit - sources
Alphabet Inc Class C (GOOG),2019-02-13,Apple ramps up self-driving program as Waymo says its tech improves
Alphabet Inc Class C (GOOG),2019-02-13,Google to spend over $13 billion on U.S. data centers  offices
Alphabet Inc Class C (GOOG),2019-02-13,Johnson & Johnson to buy surgical robotics firm Auris for $3.4 billion
Alphabet Inc Class C (GOOG),2019-02-13,Stocks - Wall Street Gains as Trump Considers Signing Border Wall Deal
Alphabet Inc Class C (GOOG),2019-02-13,Japan sets sights on tighter anti-trust regulations for Big Tech
Alphabet Inc Class C (GOOG),2019-02-13,Japanese self-drive cars map developer to buy rival U.S. startup for $200 million
Alphabet Inc Class C (GOOG),2019-02-12,A 13-year-old girl makes as much as $1 000 a day creating ASMR videos as YouTube works to keep its child stars safe (GOOG  GOOGL)
Alphabet Inc Class C (GOOG),2019-02-12,Indian lawmakers urged to summon global heads of Facebook  other tech giants
Alphabet Inc Class C (GOOG),2019-02-12,Stocks - Dow Surges on Government Shutdown Deal
Alphabet Inc Class C (GOOG),2019-02-11,Microsoft teases HoloLens 2 launch
Alphabet Inc Class C (GOOG),2019-02-11,What It’s Like to Work Inside Apple’s ‘Black Site’
Alphabet Inc Class C (GOOG),2019-02-11,Google hires chip engineers in India
Alphabet Inc Class C (GOOG),2019-02-11,India parliament panel says to summon Twitter chief on February 25
Alphabet Inc Class C (GOOG),2019-02-11,Investors' cash buildup comes at a cost
Alphabet Inc Class C (GOOG),2019-02-11,Google extends chip-making efforts to design hub Bengaluru
Alphabet Inc Class C (GOOG),2019-02-11,What It’s Like To Work Inside Apple’s ‘Black Site’
Alphabet Inc Class C (GOOG),2019-02-11,As Indian election looms  Facebook steps up fact-checks
Alphabet Inc Class C (GOOG),2019-02-08,EU countries agree on copyright reforms  deal in sight next week
Alphabet Inc Class C (GOOG),2019-02-08,U.S. must prevent air accidents involving drones  lawmaker warns
Alphabet Inc Class C (GOOG),2019-02-12,Stocks - EA Jumps in Premarket; Walmart  Amazon Rise; Gilead  Aurora Slump
Alphabet Inc Class C (GOOG),2019-02-12,India antitrust watchdog investigates Google
Alphabet Inc Class C (GOOG),2019-02-12,Apple needs video to offset TAC - Goldman
Alphabet Inc Class C (GOOG),2019-02-12,EU smaller states say no to end of veto on tax reforms
Alphabet Inc Class C (GOOG),2019-02-12,Calls for regulating online news content
Alphabet Inc Class C (GOOG),2019-02-12,Exclusive: India watchdog probes accusations that Google abused Android - sources
Alphabet Inc Class C (GOOG),2019-02-12,Exclusive: Walmart  Google-backed Deliv end online grocery partnership
Alphabet Inc Class C (GOOG),2019-02-11,Fashion startup Zilingo raises $226 million from Singapore's Temasek  others
Alphabet Inc Class C (GOOG),2019-02-11,Amazon.com acquiring home Wi-Fi company eero
Alphabet Inc Class C (GOOG),2019-02-11,I've been living with the Google Home Max and Apple's HomePod side by side for almost 6 months  and they both have one major problem (GOOG  GOOGL  AAPL)
Alphabet Inc Class C (GOOG),2019-02-05,Stocks - Alphabet  AMD  Gilead Slide in Premarket  Estée Lauder Soars
Alphabet Inc Class C (GOOG),2019-02-05,Stocks - U.S. Futures Rise After Alphabet Earnings  Upbeat Euro Zone Data
Alphabet Inc Class C (GOOG),2019-02-04,Alphabet's higher spending worries investors  shares dip
Alphabet Inc Class C (GOOG),2019-02-04,Stocks Moving After Hours: Seagate  STMicroelectronics  Google  Legg Mason
Alphabet Inc Class C (GOOG),2019-02-04,Alphabet Earnings Handily Beat Estimates  but Stock Stumbles
